Gene,class,feature,centrality_degree,centrality_betweenness,centrality_eigenvector_weighted,color,shape,size,border
YALI0B15125g,control_overexpressed,,0.0,0.0,6.856335554746396e-19,orange,circle,30,2
YALI0D13442g,control_overexpressed,,0.0030425963488843813,0.008420424007166317,1.989399220127175e-11,orange,circle,30,2
YALI0A00154g,control_overexpressed,,0.007099391480730223,0.00012095206204209868,1.082101020361309e-08,orange,circle,30,2
YALI0E05137g,control_overexpressed,,0.007099391480730223,0.011908862326762314,6.739801202308978e-09,orange,circle,30,2
YALI0E05247g,control_overexpressed,,0.011156186612576065,0.005909640099837587,1.4163121601962956e-08,orange,circle,30,2
YALI0E05709g,control_overexpressed,,0.009127789046653144,0.001351692724672236,1.2586859625943026e-08,orange,circle,30,2
YALI0E19426g,control_overexpressed,,0.007099391480730223,0.0005569257390696641,1.1127704300003638e-08,orange,circle,30,2
YALI0E22088g,control_overexpressed,,0.010141987829614604,0.00578696852299477,1.2340428957693015e-08,orange,circle,30,2
YALI0E24299g,control_overexpressed,,0.007099391480730223,3.529797586055401e-05,1.067473219404203e-08,orange,circle,30,2
YALI0F06446g,control_overexpressed,,0.011156186612576065,0.005811859875841013,1.3389277666688794e-08,orange,circle,30,2
YALI0E25608g,control_overexpressed,,0.0,0.0,6.856335554746396e-19,orange,circle,30,2
YALI0A00396g,control_overexpressed,,0.004056795131845842,6.9428920379692e-05,1.291972314500281e-08,orange,circle,30,2
YALI0A00660g,control_overexpressed,,0.005070993914807302,7.596500028195729e-05,1.4893010832932641e-08,orange,circle,30,2
YALI0D12969g,control_upregulated,,0.0030425963488843813,0.0,8.201130052440037e-09,red,circle,30,2
YALI0E18348g,control_overexpressed,,0.008113590263691683,0.002190626867270472,4.9761270288819254e-08,orange,circle,30,2
YALI0F12067g,control_overexpressed,,0.013184584178498986,0.006603469526048703,4.5126548359664773e-08,orange,circle,30,2
YALI0B03476g,control_overexpressed,,0.019269776876267748,0.004442927860261414,3.2779853939765507e-06,orange,circle,30,2
YALI0C08096g,control_overexpressed,,0.018255578093306288,0.0032660211253155574,3.5530421891486553e-06,orange,circle,30,2
YALI0C12496g,control_overexpressed,,0.014198782961460446,0.0017313588492688867,2.955068338738814e-06,orange,circle,30,2
YALI0D07810g,control_overexpressed,,0.011156186612576065,0.00022389540841293338,2.1791240949744483e-06,orange,circle,30,2
YALI0D17710g,control_overexpressed,,0.015212981744421906,0.0006694772452312317,3.100503004297579e-06,orange,circle,30,2
YALI0E07491g,control_overexpressed,,0.014198782961460446,0.002172077312322868,2.7084913749606093e-06,orange,circle,30,2
YALI0F07128g,control_overexpressed,,0.002028397565922921,0.0,4.108978098316103e-07,orange,circle,30,2
YALI0F13343g,control_upregulated,,0.010141987829614604,0.027950587171805708,1.8767573829194055e-06,red,circle,30,2
YALI0C16863g,control_overexpressed,Transcription_Factor,0.005070993914807302,0.0008986279037315351,1.9992182510894106e-08,orange,roundrectangle,80,15
YALI0A01452g,changed_regulation,,0.005070993914807302,0.005744254689742474,5.625345565659761e-10,green,circle,30,2
YALI0D15510g,changed_regulation,,0.007099391480730223,0.004162876629602438,8.612000307474956e-10,green,circle,30,2
YALI0D17666g,changed_regulation,,0.007099391480730223,0.001542457667045894,9.340908420138302e-10,green,circle,30,2
YALI0E02662g,changed_regulation,,0.005070993914807302,0.005495221327389682,4.502477149748555e-10,green,circle,30,2
YALI0E05841g,changed_regulation,,0.006085192697768763,0.0033944338732734463,8.751798144056979e-10,green,circle,30,2
YALI0F23507g,changed_regulation,,0.006085192697768763,0.0016850320864529092,9.156763105841953e-10,green,circle,30,2
YALI0E12705g,control_upregulated,,0.0,0.0,6.856335554746396e-19,red,circle,30,2
YALI0A00847g,case_overexpressed,,0.0010141987829614604,0.0,9.502881078878507e-15,lightblue,circle,30,2
YALI0C12595g,case_overexpressed,,0.002028397565922921,2.05928686895728e-06,1.3439103320858414e-14,lightblue,circle,30,2
YALI0A01023g,control_upregulated,,0.002028397565922921,0.0,1.626460605930496e-12,red,circle,30,2
YALI0A08165g,control_overexpressed,,0.005070993914807302,0.0025782271599345146,4.040515333370265e-12,orange,circle,30,2
YALI0D25872g,control_overexpressed,,0.002028397565922921,0.0,1.626460605930496e-12,orange,circle,30,2
YALI0A01067g,case_overexpressed,,0.0010141987829614604,0.0,1.4041775216120618e-15,lightblue,circle,30,2
YALI0F25289g,case_overexpressed,,0.0010141987829614604,0.0,1.4041775216120618e-15,lightblue,circle,30,2
YALI0A01089g,case_overexpressed,,0.002028397565922921,1.235572121374368e-05,2.3300296495827967e-13,lightblue,circle,30,2
YALI0E31031g,case_overexpressed,,0.0010141987829614604,0.0,9.95999297031345e-14,lightblue,circle,30,2
YALI0E35046g,case_overexpressed,,0.0030425963488843813,2.883001616540192e-05,4.4960077583471775e-13,lightblue,circle,30,2
YALI0B20372g,case_upregulated,,0.012170385395537525,0.00011550236494088252,3.0549159460020123e-06,darkblue,circle,30,2
YALI0C12918g,case_overexpressed,,0.0010141987829614604,0.0,2.056434643353165e-09,lightblue,circle,30,2
YALI0C23408g,case_upregulated,,0.004056795131845842,0.0020798797376468526,4.389528885351256e-07,darkblue,circle,30,2
YALI0D00737g,case_upregulated,,0.02028397565922921,0.010459900191139078,7.743054711487138e-06,darkblue,circle,30,2
YALI0D05467g,case_upregulated,,0.007099391480730223,0.001730624684671698,1.511971248649089e-06,darkblue,circle,30,2
YALI0E29667g,case_upregulated,,0.014198782961460446,0.00013741102374697952,3.6522434672654925e-06,darkblue,circle,30,2
YALI0E34037g,case_upregulated,,0.006085192697768763,8.342838045204467e-05,1.4221144416908385e-06,darkblue,circle,30,2
YALI0F06050g,case_upregulated,,0.016227180527383367,6.142172255750917e-05,4.544670208886294e-06,darkblue,circle,30,2
YALI0F21219g,case_upregulated,,0.004056795131845842,4.1185737379145603e-07,7.39987244615095e-07,darkblue,circle,30,2
YALI0F30987g,case_overexpressed,,0.002028397565922921,0.010156402837697304,0.00011102592052564605,lightblue,circle,30,2
YALI0E18986g,changed_regulation,,0.005070993914807302,0.006100810246805014,2.078286948286284e-10,green,circle,30,2
YALI0A01485g,control_overexpressed,,0.0,0.0,6.856335554746396e-19,orange,circle,30,2
YALI0A01782g,control_overexpressed,,0.0,0.0,6.856335554746396e-19,orange,circle,30,2
YALI0D22110g,control_upregulated,,0.0030425963488843813,6.17786060687184e-06,5.928261974055926e-14,red,circle,30,2
YALI0A02288g,control_upregulated,,0.0,0.0,6.856335554746396e-19,red,circle,30,2
YALI0A02310g,case_overexpressed,,0.007099391480730223,0.013430668959339451,5.394638773766095e-10,lightblue,circle,30,2
YALI0B23100g,case_overexpressed,,0.010141987829614604,0.03430408116335973,6.318949528940766e-10,lightblue,circle,30,2
YALI0C06369g,case_overexpressed,,0.007099391480730223,0.0020011463363570586,4.871141537761352e-10,lightblue,circle,30,2
YALI0C13750g,case_overexpressed,Transcription_Factor,0.0030425963488843813,0.03456513009544794,1.0874576614811262e-09,lightblue,roundrectangle,80,15
YALI0E07073g,case_overexpressed,,0.0030425963488843813,0.0017133266749724569,1.9581145768947978e-10,lightblue,circle,30,2
YALI0E14190g,case_overexpressed,,0.004056795131845842,0.00014768518995205226,3.6220727630839587e-10,lightblue,circle,30,2
YALI0E21472g,case_overexpressed,,0.005070993914807302,0.023135470186674344,4.265031142224089e-10,lightblue,circle,30,2
YALI0F02937g,changed_regulation,,0.0030425963488843813,0.00011339806358391423,2.2158832566596925e-10,green,circle,30,2
YALI0F03817g,control_overexpressed,,0.0,0.0,6.856335554746396e-19,orange,circle,30,2
YALI0C23276g,control_overexpressed,,0.004056795131845842,0.0015413228122701662,2.805489463147461e-09,orange,circle,30,2
YALI0E05621g,control_overexpressed,,0.0,0.0,6.856335554746396e-19,orange,circle,30,2
YALI0E14927g,control_overexpressed,,0.0,0.0,6.856335554746396e-19,orange,circle,30,2
YALI0A02607g,case_overexpressed,,0.0010141987829614604,0.0,4.267593058627202e-09,lightblue,circle,30,2
YALI0C21516g,case_overexpressed,,0.005070993914807302,0.00021776675770147834,5.5940885952833177e-08,lightblue,circle,30,2
YALI0A02651g,case_upregulated,,0.014198782961460446,9.20290994018801e-05,4.1549454887118055e-06,darkblue,circle,30,2
YALI0A02915g,case_upregulated,,0.014198782961460446,0.00018118597679807317,3.987881081079755e-06,darkblue,circle,30,2
YALI0A17468g,case_upregulated,,0.016227180527383367,0.0002126294641973202,4.474805105055611e-06,darkblue,circle,30,2
YALI0A20680g,case_upregulated,,0.009127789046653144,5.270793771735895e-07,2.6727294512352347e-06,darkblue,circle,30,2
YALI0D04939g,case_upregulated,,0.012170385395537525,8.541197225172016e-05,3.5958737877654955e-06,darkblue,circle,30,2
YALI0D07216g,case_upregulated,,0.015212981744421906,9.626604410484944e-05,4.242892032894715e-06,darkblue,circle,30,2
YALI0E23089g,case_upregulated,,0.017241379310344827,0.00021854456338903742,4.562441921476243e-06,darkblue,circle,30,2
YALI0E23749g,case_upregulated,,0.017241379310344827,0.00021610612110871622,4.683585070836173e-06,darkblue,circle,30,2
YALI0F00924g,case_upregulated,,0.010141987829614604,3.6974263481729207e-06,3.063709568926991e-06,darkblue,circle,30,2
YALI0F02123g,case_upregulated,,0.016227180527383367,7.239833534903425e-05,4.501900118055306e-06,darkblue,circle,30,2
YALI0F06061g,case_upregulated,,0.008113590263691683,1.7160723907977333e-07,2.3613145157475536e-06,darkblue,circle,30,2
YALI0F17248g,case_upregulated,,0.015212981744421906,0.00018614733612786055,4.196661046860318e-06,darkblue,circle,30,2
YALI0A02673g,case_overexpressed,,0.0,0.0,6.856335554746396e-19,lightblue,circle,30,2
YALI0A14784g,case_upregulated,,0.008113590263691683,9.02113822836729e-05,2.020620348489797e-06,darkblue,circle,30,2
