Gene,class,feature,centrality_degree,centrality_betweenness,centrality_eigenvector_weighted,color,shape,size,border
YALI0A19470g,case_upregulated,,0.006779661016949152,0.00029592024506029305,2.9391515804127045e-07,darkblue,circle,30,2
YALI0B14102g,case_upregulated,,0.01694915254237288,0.0030791213099760745,1.0273641198926697e-06,darkblue,circle,30,2
YALI0B15125g,case_overexpressed,,0.005084745762711864,0.0,2.697969116701883e-07,lightblue,circle,30,2
YALI0E05599g,case_overexpressed,,0.01694915254237288,0.01531484885902681,5.451570892309051e-07,lightblue,circle,30,2
YALI0A00154g,case_overexpressed,,0.00847457627118644,0.0002693995787719714,8.418005618053385e-09,lightblue,circle,30,2
YALI0E05137g,case_upregulated,,0.00847457627118644,0.018623451742003375,8.226229854254226e-09,darkblue,circle,30,2
YALI0E05247g,case_overexpressed,,0.00847457627118644,1.1510460130643722e-05,8.014678619633583e-09,lightblue,circle,30,2
YALI0E05709g,case_overexpressed,,0.011864406779661017,0.01884253416648997,1.014865895969263e-08,lightblue,circle,30,2
YALI0E19426g,case_overexpressed,,0.010169491525423728,0.003169322979400387,8.899344171950866e-09,lightblue,circle,30,2
YALI0E22088g,case_overexpressed,,0.011864406779661017,0.0051901212846221624,9.00540558359358e-09,lightblue,circle,30,2
YALI0A00330g,control_overexpressed,,0.0,0.0,5.616542264280526e-23,orange,circle,30,2
YALI0A00396g,changed_regulation,,0.006779661016949152,0.00012178415620043202,6.486777045144786e-06,green,circle,30,2
YALI0A04697g,changed_regulation,,0.01694915254237288,0.015206610980065486,1.7705021784192303e-05,green,circle,30,2
YALI0D12969g,changed_regulation,,0.003389830508474576,0.0,2.7644794426845645e-06,green,circle,30,2
YALI0D13024g,changed_regulation,,0.01694915254237288,0.005994780937881484,1.6142670278543137e-05,green,circle,30,2
YALI0F30459g,case_upregulated,,0.01694915254237288,0.0017875064814885004,1.648708924315672e-05,darkblue,circle,30,2
YALI0B05874g,case_overexpressed,,0.015254237288135592,0.00012566428899771828,1.0624916344798023e-05,lightblue,circle,30,2
YALI0B10758g,control_overexpressed,,0.003389830508474576,4.604184052257489e-05,2.0689330417824617e-14,orange,circle,30,2
YALI0C12496g,changed_regulation,,0.011864406779661017,1.9032313930302476e-05,9.061451350854613e-06,green,circle,30,2
YALI0D12232g,case_overexpressed,,0.01694915254237288,4.094329696470642e-05,1.1773495554300136e-05,lightblue,circle,30,2
YALI0D17710g,case_overexpressed,,0.015254237288135592,0.0001498004168430919,1.0274751576480744e-05,lightblue,circle,30,2
YALI0E34067g,case_overexpressed,,0.010169491525423728,6.111506212222737e-06,7.763026903281943e-06,lightblue,circle,30,2
YALI0F07128g,case_overexpressed,,0.006779661016949152,0.00018416736209029956,2.6884839215187596e-06,lightblue,circle,30,2
