Gene,Class,Feature
YALI0A00154g,changed_regulation,
YALI0A00212g,changed_regulation,
YALI0A00330g,control_overexpressed,
YALI0A00396g,changed_regulation,
YALI0A00506g,changed_regulation,
YALI0A00616g,changed_regulation,
YALI0A00638g,control_upregulated,
YALI0A00682g,changed_regulation,
YALI0A00847g,case_overexpressed,
YALI0A00979g,changed_regulation,
YALI0A01023g,control_overexpressed,
YALI0A01067g,changed_regulation,
YALI0A01133g,changed_regulation,
YALI0A01419g,control_upregulated,
YALI0A01452g,changed_regulation,
YALI0A01485g,control_overexpressed,
YALI0A01738g,control_upregulated,
YALI0A01760g,control_upregulated,
YALI0A01892g,control_upregulated,
YALI0A02046g,control_upregulated,
YALI0A02156g,changed_regulation,
YALI0A02178g,changed_regulation,
YALI0A02288g,changed_regulation,
YALI0A02310g,case_overexpressed,
YALI0A02332g,control_overexpressed,
YALI0A02354g,changed_regulation,
YALI0A02423g,changed_regulation,
YALI0A02453g,control_overexpressed,
YALI0A02497g,case_upregulated,Mutated_Gene
YALI0A02585g,control_overexpressed,
YALI0A02651g,control_upregulated,
YALI0A02673g,case_overexpressed,
YALI0A02717g,changed_regulation,
YALI0A02783g,control_overexpressed,
YALI0A02871g,changed_regulation,
YALI0A02915g,control_upregulated,
YALI0A02959g,changed_regulation,
YALI0A03003g,control_upregulated,
YALI0A03025g,case_upregulated,
YALI0A03553g,changed_regulation,
YALI0A03597g,case_overexpressed,
YALI0A03641g,control_upregulated,
YALI0A03685g,control_overexpressed,
YALI0A03773g,changed_regulation,
YALI0A03817g,control_overexpressed,
YALI0A03883g,control_upregulated,Mutated_Gene
YALI0A03905g,changed_regulation,
YALI0A04191g,case_upregulated,
YALI0A04301g,control_upregulated,
YALI0A04323g,case_overexpressed,
YALI0A04345g,changed_regulation,
YALI0A04367g,control_overexpressed,
YALI0A04455g,case_overexpressed,
YALI0A04653g,control_upregulated,
YALI0A04675g,case_overexpressed,
YALI0A04697g,changed_regulation,
YALI0A04785g,changed_regulation,
YALI0A04873g,case_upregulated,
YALI0A04895g,changed_regulation,
YALI0A04917g,changed_regulation,
YALI0A04961g,changed_regulation,
YALI0A04983g,case_upregulated,
YALI0A05115g,control_overexpressed,
YALI0A05137g,control_overexpressed,
YALI0A05159g,changed_regulation,
YALI0A05379g,control_overexpressed,
YALI0A05423g,changed_regulation,
YALI0A05555g,changed_regulation,
YALI0A05577g,control_overexpressed,
YALI0A05885g,changed_regulation,
YALI0A05929g,control_overexpressed,
YALI0A05951g,changed_regulation,
YALI0A05995g,changed_regulation,
YALI0A06435g,changed_regulation,
YALI0A06479g,changed_regulation,
YALI0A06501g,control_upregulated,
YALI0A06523g,changed_regulation,
YALI0A06589g,changed_regulation,
YALI0A06611g,control_overexpressed,
YALI0A06633g,control_overexpressed,
YALI0A06677g,changed_regulation,
YALI0A06765g,changed_regulation,
YALI0A06787g,changed_regulation,
YALI0A06908g,changed_regulation,
YALI0A06974g,changed_regulation,
YALI0A06996g,control_upregulated,
YALI0A07018g,case_upregulated,
YALI0A07062g,changed_regulation,
YALI0A07733g,case_upregulated,
YALI0A07799g,control_upregulated,
YALI0A07821g,changed_regulation,
YALI0A07887g,control_upregulated,
YALI0A07997g,control_overexpressed,
YALI0A08041g,changed_regulation,
YALI0A08151g,changed_regulation,
YALI0A08165g,control_overexpressed,
YALI0A08239g,case_upregulated,
YALI0A08536g,case_upregulated,
YALI0A08646g,changed_regulation,
YALI0A08734g,changed_regulation,
YALI0A09042g,changed_regulation,
YALI0A09064g,changed_regulation,
YALI0A09086g,case_overexpressed,
YALI0A09284g,case_overexpressed,
YALI0A09383g,changed_regulation,
YALI0A09427g,control_overexpressed,
YALI0A09438g,control_upregulated,
YALI0A09449g,changed_regulation,
YALI0A09537g,control_overexpressed,
YALI0A09559g,changed_regulation,
YALI0A09592g,changed_regulation,
YALI0A09658g,changed_regulation,
YALI0A09680g,control_overexpressed,
YALI0A09768g,case_upregulated,
YALI0A09812g,changed_regulation,
YALI0A09834g,control_overexpressed,
YALI0A09856g,changed_regulation,
YALI0A09878g,control_upregulated,
YALI0A09900g,case_upregulated,
YALI0A09933g,control_upregulated,
YALI0A09988g,control_upregulated,
YALI0A10274g,case_overexpressed,
YALI0A10310g,control_upregulated,
YALI0A10362g,case_overexpressed,
YALI0A10571g,changed_regulation,
YALI0A10615g,control_overexpressed,
YALI0A10637g,control_overexpressed,Transcription_Factor
YALI0A10681g,changed_regulation,
YALI0A10703g,case_overexpressed,
YALI0A10747g,changed_regulation,
YALI0A10967g,control_overexpressed,
YALI0A11143g,case_overexpressed,
YALI0A11407g,changed_regulation,
YALI0A11671g,changed_regulation,
YALI0A11869g,control_overexpressed,
YALI0A12001g,control_overexpressed,
YALI0A12023g,control_overexpressed,
YALI0A12067g,changed_regulation,
YALI0A12177g,case_overexpressed,
YALI0A12353g,control_overexpressed,
YALI0A12441g,control_overexpressed,
YALI0A12507g,changed_regulation,
YALI0A12969g,changed_regulation,
YALI0A13233g,changed_regulation,Mutated_Gene
YALI0A13277g,changed_regulation,
YALI0A13299g,changed_regulation,
YALI0A13497g,control_overexpressed,
YALI0A14212g,control_overexpressed,
YALI0A14322g,changed_regulation,
YALI0A14388g,control_overexpressed,
YALI0A14476g,control_overexpressed,
YALI0A14498g,case_overexpressed,
YALI0A14520g,control_overexpressed,
