Gene,FC_t1,FC_t2,Z,Class,Feature
RPR1_1,0.0,0.0,0.0,no_change,
RPR1_2,0.0,0.0,0.0,no_change,
SCR1,0.0,0.0,0.0,no_change,
SNR14,0.0,0.0,0.0,no_change,
SNR17_1,0.0,0.0,0.0,no_change,
SNR17_2,0.0,0.0,0.0,no_change,
SNR17_3,0.0,0.0,0.0,no_change,
SNR20,0.0,0.0,0.0,no_change,
SNR6,0.0,0.0,0.0,no_change,
SNR7,0.0,0.0,0.0,no_change,
SRN19_1,0.0,0.0,0.0,no_change,
SRN19_2,0.0,0.0,0.0,no_change,
YALI0A00110g,0.0,0.0,0.0,no_change,
YALI0A00132g,0.5441245772077191,0.4418123729924971,0.021538529955173146,no_change,
YALI0A00154g,-10.739753329637606,0.3593888863953953,4.659687345162111,changed_regulation,
YALI0A00176g,0.0,0.0,0.0,no_change,
YALI0A00198g,0.0,0.0,0.0,no_change,
YALI0A00212g,-2.4278755870317483,-0.22459776691934877,2.1823957234670264,changed_regulation,
YALI0A00220r,0.0,0.0,0.0,no_change,
YALI0A00264g,0.48390327678359535,0.4297285783324345,-0.013737981037823086,no_change,
YALI0A00286g,-0.06760108765303832,-0.5368362732941132,-0.4709004980363611,no_change,
YALI0A00297g,0.0,0.0,0.0,no_change,
YALI0A00308t,0.0,0.0,0.0,no_change,
YALI0A00330g,-3.0494413452399964,-2.9608881199566817,0.11705236540876711,control_overexpressed,
YALI0A00352g,-0.6261600859668606,0.5224149542736793,1.0918584318006854,no_change,
YALI0A00369g,0.0,0.0,0.0,no_change,
YALI0A00374g,0.0,0.0,0.0,no_change,
YALI0A00396g,-4.7025209018035685,-0.19006118858175036,1.5996253711733368,changed_regulation,
YALI0A00418g,-1.2010374816698104,-0.3366664620776433,0.5955555723215595,no_change,
YALI0A00440g,-0.8266870918978432,0.08418345643095748,0.5760755331072098,no_change,
YALI0A00462r,0.0,0.0,0.0,no_change,
YALI0A00506g,2.6390124966263837,0.9842798586832897,-1.554576546783076,changed_regulation,
YALI0A00528g,0.0,0.0,0.0,no_change,
YALI0A00550g,0.0,0.0,0.0,no_change,
YALI0A00572g,0.0,0.0,0.0,no_change,
YALI0A00594g,0.9971072959157563,1.1012472907281845,0.18764700086688763,no_change,
YALI0A00616g,-1.7679876205593608,0.5781777503506708,2.1301371793745263,changed_regulation,
