Gene,border,centrality_betweenness,centrality_degree,centrality_eigenvector_weighted,class,color,feature,shape,size
YALI0A19470g,2,0.006036156343306419,0.007561436672967864,1.3519649922454915e-07,control_upregulated,red,,circle,30
YALI0B08118g,2,0.007333540356028273,0.010712035286704474,1.115647188333542e-07,control_upregulated,red,,circle,30
YALI0B08272g,2,0.05083896958842011,0.008821676118462508,6.754167757405215e-08,control_upregulated,red,,circle,30
YALI0B14102g,2,0.014060792520461824,0.010081915563957152,1.7157360288751864e-07,control_upregulated,red,,circle,30
YALI0B15125g,2,0.0,0.002520478890989288,3.838063373100983e-08,control_overexpressed,orange,,circle,30
YALI0C23903g,2,0.0037981820449396533,0.0063011972274732205,6.039098379139525e-08,control_upregulated,red,,circle,30
YALI0C24145g,2,0.002506461843927432,0.003780718336483932,1.8427541935484813e-08,control_upregulated,red,,circle,30
YALI0D00385g,2,0.02168880828735809,0.008191556395715185,2.3804090391050885e-07,control_upregulated,red,,circle,30
YALI0D13442g,2,0.030144364268916528,0.010081915563957152,2.5321119320563325e-07,control_overexpressed,orange,,circle,30
YALI0D26510g,2,0.0,0.000630119722747322,4.640654526053947e-09,control_upregulated,red,,circle,30
YALI0E05599g,2,0.04451432213512879,0.011342155009451797,1.4877899279374995e-07,control_upregulated,red,,circle,30
YALI0E33649g,2,0.012886298105173123,0.010081915563957152,1.986023458168901e-07,control_upregulated,red,,circle,30
YALI0F22209g,2,0.008858739077788605,0.008191556395715185,1.9409073046849322e-07,control_upregulated,red,,circle,30
YALI0A00154g,2,9.18595549061847e-05,0.004410838059231254,1.1725136266812888e-08,control_overexpressed,orange,,circle,30
YALI0E05137g,2,0.015920055184128024,0.005040957781978576,7.436095687305445e-09,control_overexpressed,orange,,circle,30
YALI0E05247g,2,0.0068389976773924055,0.010712035286704474,3.3445512552487587e-08,control_overexpressed,orange,,circle,30
YALI0E05709g,2,0.0034477395726338045,0.00945179584120983,2.706444792162655e-08,control_overexpressed,orange,,circle,30
YALI0E19426g,2,0.001629713368267734,0.0063011972274732205,1.745016968961745e-08,control_overexpressed,orange,,circle,30
YALI0E22088g,2,0.004888845897830216,0.0063011972274732205,1.3011475808897513e-08,control_overexpressed,orange,,circle,30
YALI0E24299g,2,0.0013110396139342784,0.007561436672967864,2.5438451793213897e-08,control_overexpressed,orange,,circle,30
YALI0F06446g,2,0.003567788364940116,0.007561436672967864,1.3694185404576155e-08,control_overexpressed,orange,,circle,30
YALI0F06776g,2,0.0,0.0,1.3724377063354002e-21,control_upregulated,red,,circle,30
YALI0A00330g,2,0.0,0.000630119722747322,2.6112797788172426e-11,control_upregulated,red,,circle,30
YALI0E25608g,2,0.0008570637010984588,0.001890359168241966,3.0762093166662384e-10,control_overexpressed,orange,,circle,30
YALI0A00396g,2,0.0002224183850747435,0.003780718336483932,3.0819316774142863e-09,control_overexpressed,orange,,circle,30
YALI0A00660g,2,9.39119647537357e-05,0.004410838059231254,3.338298576567476e-09,control_overexpressed,orange,,circle,30
YALI0D12969g,2,0.0,0.002520478890989288,2.1252167311677287e-09,control_upregulated,red,,circle,30
YALI0D13024g,2,0.0004083544799894252,0.006931316950220542,5.858624909755243e-09,control_upregulated,red,,circle,30
YALI0E18348g,2,0.001245173105078331,0.005040957781978576,3.7448419088585955e-09,control_overexpressed,orange,,circle,30
YALI0F12067g,2,0.007202415203511175,0.011342155009451797,9.677466663126675e-09,control_overexpressed,orange,,circle,30
YALI0F30459g,2,0.015085920382582984,0.008191556395715185,7.180964399774276e-09,control_upregulated,red,,circle,30
YALI0A18139g,2,0.015287413501143609,0.008821676118462508,1.8646123594782055e-06,control_upregulated,red,,circle,30
YALI0B03476g,2,0.005266677252142912,0.017013232514177693,3.7478268342362062e-06,control_overexpressed,orange,,circle,30
YALI0B05874g,2,0.0012385552127872435,0.014492753623188406,4.336541691470396e-06,control_upregulated,red,,circle,30
YALI0B07381g,2,0.004323360004416043,0.0063011972274732205,5.856148915893703e-07,control_upregulated,red,,circle,30
YALI0B12738g,2,0.0009810226246979492,0.010081915563957152,2.5949368685405284e-06,control_upregulated,red,,circle,30
YALI0B16324g,2,4.924180362976432e-05,0.010712035286704474,3.4064825123372745e-06,control_upregulated,red,,circle,30
YALI0B19052g,2,0.03168334421255129,0.008821676118462508,4.0190779551188755e-07,control_upregulated,red,,circle,30
YALI0B19206g,2,0.0010671290735668228,0.010081915563957152,3.141063521826745e-06,control_upregulated,red,,circle,30
YALI0C08096g,2,0.0002480298804750184,0.017013232514177693,4.83734592834563e-06,control_overexpressed,orange,,circle,30
YALI0C12496g,2,0.0010808796481769516,0.012602394454946441,3.810541359283989e-06,control_overexpressed,orange,,circle,30
YALI0C16346g,2,0.005490951911353605,0.012602394454946441,8.962155750503932e-07,control_upregulated,red,,circle,30
YALI0D07810g,2,0.00016638029621796513,0.010712035286704474,3.0210468173589047e-06,control_overexpressed,orange,,circle,30
YALI0D12232g,2,0.0001025660274572924,0.013862633900441084,4.244890515541733e-06,control_upregulated,red,,circle,30
YALI0D17710g,2,0.00015572281022195828,0.012602394454946441,3.781429972692712e-06,control_overexpressed,orange,,circle,30
YALI0E07491g,2,0.004712597283345365,0.01575299306868305,4.121200457685688e-06,control_overexpressed,orange,,circle,30
YALI0E25762g,2,0.0016651392550839435,0.00945179584120983,5.384417130901023e-07,control_upregulated,red,,circle,30
YALI0E34067g,2,0.003439104621908579,0.010081915563957152,2.848888443417288e-06,control_upregulated,red,,circle,30
YALI0F07128g,2,0.0009370974382773746,0.003780718336483932,6.339564309782892e-07,control_overexpressed,orange,,circle,30
YALI0F13343g,2,0.002299437862401823,0.010712035286704474,2.9666471247863883e-06,control_upregulated,red,,circle,30
YALI0C16863g,15,0.0008184036607902693,0.003780718336483932,2.6515210455792927e-09,control_overexpressed,orange,Transcription_Factor,roundrectangle,80
YALI0D22638g,2,0.003454623043919361,0.007561436672967864,7.449701555251215e-09,control_upregulated,red,,circle,30
YALI0A01452g,2,0.004942857174538252,0.0031505986137366103,3.35925428794287e-10,changed_regulation,green,,circle,30
YALI0D15510g,2,0.0033579385456391914,0.004410838059231254,1.0692581148116763e-09,changed_regulation,green,,circle,30
YALI0D17666g,2,0.0014364365086987662,0.004410838059231254,1.1267120033102126e-09,changed_regulation,green,,circle,30
YALI0E02662g,2,0.006988860114175371,0.0031505986137366103,7.20854373159071e-10,changed_regulation,green,,circle,30
YALI0E05841g,2,0.0020774847097284094,0.003780718336483932,1.1104368544341143e-09,changed_regulation,green,,circle,30
YALI0F23507g,2,0.0009516254333266921,0.003780718336483932,1.1645457445648774e-09,changed_regulation,green,,circle,30
YALI0E12705g,2,0.0,0.0,1.3724377063354002e-21,control_upregulated,red,,circle,30
YALI0A00847g,2,0.0,0.000630119722747322,4.5923138091688824e-17,case_overexpressed,lightblue,,circle,30
YALI0C12595g,2,7.946024246498386e-07,0.001260239445494644,6.494512470149748e-17,case_overexpressed,lightblue,,circle,30
YALI0F05720g,2,0.004227298721737557,0.008191556395715185,1.7188270308236333e-07,control_upregulated,red,,circle,30
YALI0A01023g,2,0.0007477208815954981,0.001890359168241966,1.0026345795029026e-11,control_upregulated,red,,circle,30
YALI0A08165g,2,0.006775201716782016,0.003780718336483932,9.053628159016273e-11,control_overexpressed,orange,,circle,30
YALI0C20647g,2,0.0,0.000630119722747322,1.00549037354683e-12,control_upregulated,red,,circle,30
YALI0D25872g,2,0.0,0.001260239445494644,9.933041884323816e-12,control_overexpressed,orange,,circle,30
YALI0A01067g,2,0.0,0.000630119722747322,5.6215048451497994e-18,case_overexpressed,lightblue,,circle,30
YALI0F25289g,2,0.0,0.000630119722747322,5.6215048451497994e-18,case_overexpressed,lightblue,,circle,30
YALI0A01089g,2,4.767614547899032e-06,0.001260239445494644,1.5657428123973285e-15,case_overexpressed,lightblue,,circle,30
YALI0E31031g,2,0.0,0.000630119722747322,6.657736486564217e-16,case_overexpressed,lightblue,,circle,30
YALI0E35046g,2,1.112443394509774e-05,0.001890359168241966,3.0376767626912206e-15,case_overexpressed,lightblue,,circle,30
YALI0E29579g,2,0.014510488422092422,0.010081915563957152,6.190926624956412e-07,control_upregulated,red,,circle,30
YALI0A01419g,2,0.0003703341655276712,0.00945179584120983,0.000170707926922597,case_upregulated,darkblue,,circle,30
YALI0A09438g,2,0.001305562564497136,0.01638311279143037,0.00022695687252446346,case_upregulated,darkblue,,circle,30
YALI0B01540g,2,1.09459597530343e-05,0.008191556395715185,8.496371840352663e-05,case_upregulated,darkblue,,circle,30
YALI0B20372g,2,3.666103661251463e-05,0.010712035286704474,6.168086437947261e-05,case_upregulated,darkblue,,circle,30
YALI0C03201g,2,0.0007306452148012199,0.013232514177693762,0.00029970537606819947,case_upregulated,darkblue,,circle,30
YALI0C12918g,2,3.5963999595620834e-06,0.001260239445494644,4.068176897032699e-06,case_overexpressed,lightblue,,circle,30
YALI0C23408g,2,0.0012321384562739373,0.005040957781978576,0.0001428141121938035,case_upregulated,darkblue,,circle,30
YALI0D00737g,2,0.0016367469411211594,0.01890359168241966,0.0006472368759218143,case_upregulated,darkblue,,circle,30
YALI0D05467g,2,0.000311799279338158,0.005671077504725898,3.281050928390462e-05,case_upregulated,darkblue,,circle,30
YALI0D24585g,2,7.425907702637571e-05,0.010081915563957152,6.556388577251799e-05,case_upregulated,darkblue,,circle,30
YALI0E29667g,2,5.515072505783082e-05,0.012602394454946441,7.703724635621546e-05,case_upregulated,darkblue,,circle,30
YALI0E31779g,2,0.0030948167086433808,0.010081915563957152,0.0051621219482902315,case_upregulated,darkblue,,circle,30
