Gene,FC_t1,FC_t2,Z,Class,Feature
RPR1_1,0.0,0.0,0.0,,
RPR1_2,0.0,0.0,0.0,,
SCR1,0.0,0.0,0.0,,
SNR14,0.0,0.0,0.0,,
SNR17_1,0.0,0.0,0.0,,
SNR17_2,0.0,0.0,0.0,,
SNR17_3,0.0,0.0,0.0,,
SNR20,0.0,0.0,0.0,,
SNR6,0.0,0.0,0.0,,
SNR7,0.0,0.0,0.0,,
SRN19_1,0.0,0.0,0.0,,
SRN19_2,0.0,0.0,0.0,,
YALI0A00110g,0.0,0.0,0.0,,
YALI0A00132g,-1.162895842851927,0.3274937601046129,1.3041961096312626,,
YALI0A00154g,-2.231840816473208,-9.514635473515305,-0.8544443622154193,control_overexpressed,
YALI0A00176g,0.0,-0.5643642333856862,-0.5643642333856862,,
YALI0A00198g,0.0,0.0,0.0,,
YALI0A00212g,1.5277638817870658,-0.4120852424061997,-1.3243649122872794,,
YALI0A00220r,0.0,0.0,0.0,,
YALI0A00264g,-0.17781989150500926,0.3500201326713405,0.5106813438139937,,
YALI0A00286g,0.3406866631709986,0.3187423267061911,-0.022735340436098282,,
YALI0A00297g,0.0,0.0,0.0,,
YALI0A00308t,0.0,0.0,0.0,,
YALI0A00330g,-0.890703063457963,-1.4137096822650432,-0.4395426245416528,control_upregulated,
YALI0A00352g,-0.6955213945791219,0.08570679610885883,0.7050980863218169,,
YALI0A00369g,0.0,0.0,0.0,,
YALI0A00374g,0.0,0.0,0.0,,
YALI0A00396g,-2.7654847855357185,-2.0698437260576337,0.7032412632653011,control_overexpressed,
YALI0A00418g,0.002155400326255053,-0.08086169508743014,-0.0825626549900192,,
YALI0A00440g,0.1638970636404741,-0.9087596814030237,-0.9088685799832477,,
YALI0A00462r,0.0,0.0,0.0,,
YALI0A00506g,-0.22854862019829433,-0.8010365555837431,-0.41568087457519154,,
YALI0A00528g,0.0,0.0,0.0,,
YALI0A00550g,0.8118363190477788,0.0,-0.8118363190477788,,
YALI0A00572g,0.0,0.0,0.0,,
YALI0A00594g,-0.4609407223106679,0.6193652389447187,0.9816814472516388,,
YALI0A00616g,0.2510798519240675,-0.666161773208753,-0.8711959042830163,,
YALI0A00638g,0.4868220182951288,0.547552280665368,0.05967610821872354,,
YALI0A00660g,-1.0957945488118555,-1.0765414946282283,-0.3210839484757854,control_overexpressed,
YALI0A00682g,1.0650520627522404,-0.2873767434536378,-1.0420469928817415,,
YALI0A00715r,0.0,0.0,0.0,,
YALI0A00759g,0.13680221849207827,-0.9498038006710686,-0.95932830481924,,
YALI0A00781g,0.8155885089886661,0.3395328238981533,-0.3936895536338299,,
YALI0A00792r,0.0,0.0,0.0,,
YALI0A00803g,-0.14662235516255775,0.11360095212751152,0.2506003001624683,,
YALI0A00825g,0.2743979299076469,-1.0679083273958159,-1.2545019477664958,control_upregulated,
YALI0A00847g,8.610856308979397,5.877588073096555,-0.8909488417966683,case_overexpressed,
