Gene,border,centrality_betweenness,centrality_degree,centrality_eigenvector_weighted,class,color,feature,shape,size
YALI0D07535g,2,0.00025323012287416187,0.006779661016949152,7.023779557028766e-08,control_upregulated,red,,circle,30
YALI0E15147g,2,0.0,0.0,5.616542264280527e-23,case_overexpressed,lightblue,,circle,30
YALI0A14784g,2,2.2389052345024835e-05,0.015254237288135592,0.09660348461887382,control_overexpressed,orange,,circle,30
YALI0A20482g,2,0.0,0.001694915254237288,3.721020470396529e-16,control_overexpressed,orange,,circle,30
YALI0F00880g,2,0.0,0.001694915254237288,7.8279461347029e-14,control_overexpressed,orange,,circle,30
YALI0A17020g,2,0.02516374999995004,0.006779661016949152,2.061622040190703e-08,case_overexpressed,lightblue,,circle,30
YALI0A19426g,2,0.0,0.001694915254237288,3.805724171922632e-10,case_overexpressed,lightblue,,circle,30
YALI0F02046g,2,0.0,0.0,5.616542264280527e-23,control_overexpressed,orange,,circle,30
YALI0E03586g,2,0.0,0.001694915254237288,1.3488107432253093e-14,control_overexpressed,orange,,circle,30
YALI0B02178g,2,0.007789121370920383,0.010169491525423728,2.7090740851880927e-07,case_overexpressed,lightblue,,circle,30
YALI0D05041g,15,0.005793600724724959,0.010169491525423728,8.873177394048946e-07,changed_regulation,green,Transcription_Factor,roundrectangle,80
YALI0E02024g,2,0.0,0.003389830508474576,7.364094369038158e-07,case_overexpressed,lightblue,,circle,30
YALI0B01694g,2,0.0,0.0,5.616542264280527e-23,case_overexpressed,lightblue,,circle,30
YALI0E17457g,2,0.0,0.001694915254237288,2.1554183197251985e-08,control_overexpressed,orange,,circle,30
YALI0C09460g,2,0.002184615097593212,0.005084745762711864,4.301155672446356e-09,case_upregulated,darkblue,,circle,30
YALI0A14454g,2,5.755230065321861e-06,0.003389830508474576,5.262317615102656e-16,case_overexpressed,lightblue,,circle,30
YALI0B04422g,2,0.00037408995424592097,0.005084745762711864,1.7306674690532883e-08,control_overexpressed,orange,,circle,30
YALI0A19932g,2,0.0,0.001694915254237288,1.4723428553275545e-17,case_upregulated,darkblue,,circle,30
YALI0B01540g,2,7.052966780699852e-05,0.01694915254237288,0.13794882450615298,control_upregulated,red,,circle,30
YALI0A21153g,2,0.0,0.0,5.616542264280527e-23,control_overexpressed,orange,,circle,30
YALI0E00792g,2,2.028876708742036e-05,0.013559322033898305,1.0169508623513965e-05,case_overexpressed,lightblue,,circle,30
YALI0E32395g,2,0.0,0.0,5.616542264280527e-23,case_upregulated,darkblue,,circle,30
YALI0D20592g,2,0.0011913326235216252,0.00847457627118644,3.121724409143267e-07,control_upregulated,red,,circle,30
YALI0B00924g,2,0.0236288309135381,0.010169491525423728,4.3898130968258665e-07,case_overexpressed,lightblue,,circle,30
YALI0B20944g,15,0.007491711555127708,0.010169491525423728,5.096213030204143e-06,case_upregulated,darkblue,Transcription_Factor,roundrectangle,80
YALI0F24167g,2,0.0,0.001694915254237288,3.721020470396529e-16,case_overexpressed,lightblue,,circle,30
YALI0D20680g,2,0.0006158096169894392,0.005084745762711864,8.054607983675985e-08,case_overexpressed,lightblue,,circle,30
YALI0E30921g,2,0.0002049562804395082,0.005084745762711864,3.4356816612965804e-06,control_overexpressed,orange,,circle,30
YALI0C03465g,2,0.04059786563015859,0.003389830508474576,1.144686895543215e-06,changed_regulation,green,,circle,30
YALI0B00792g,2,0.00018395916806362902,0.0288135593220339,0.23507451390530465,control_overexpressed,orange,,circle,30
YALI0D27236g,2,0.001151810109053303,0.006779661016949152,4.8443824626565165e-06,case_upregulated,darkblue,,circle,30
YALI0E01408g,2,0.0,0.001694915254237288,3.721020470396529e-16,case_overexpressed,lightblue,,circle,30
YALI0E33377g,2,0.0,0.0,5.616542264280527e-23,control_overexpressed,orange,,circle,30
YALI0D23221g,2,0.0,0.001694915254237288,1.4723428553275545e-17,changed_regulation,green,,circle,30
YALI0C15554g,2,0.0,0.001694915254237288,2.1849022926839468e-08,case_overexpressed,lightblue,,circle,30
YALI0E16819g,2,0.0,0.0,5.616542264280527e-23,control_overexpressed,orange,,circle,30
YALI0C09904g,2,0.0014239396917305467,0.011864406779661017,9.671711330004593e-07,case_upregulated,darkblue,,circle,30
YALI0E10373g,2,0.0,0.001694915254237288,5.627082126595751e-08,case_overexpressed,lightblue,,circle,30
YALI0D11396g,2,0.0009077916223034342,0.010169491525423728,2.3404526919448084e-06,control_overexpressed,orange,,circle,30
YALI0B08690g,2,0.0,0.001694915254237288,1.4723428553275545e-17,case_upregulated,darkblue,,circle,30
YALI0F32065g,2,0.0024747489280884,0.005084745762711864,1.0964024173803284e-09,changed_regulation,green,,circle,30
YALI0F18458g,15,0.0,0.001694915254237288,1.4723428553275545e-17,changed_regulation,green,Transcription_Factor,roundrectangle,80
YALI0E33429g,2,0.0,0.001694915254237288,3.6515606413985066e-10,case_upregulated,darkblue,,circle,30
YALI0F20196g,2,0.0004256520240611575,0.006779661016949152,0.03243674061647534,control_upregulated,red,,circle,30
YALI0F19844g,2,0.003694857701936635,0.003389830508474576,9.330054354268011e-10,case_overexpressed,lightblue,,circle,30
YALI0D25014g,2,0.0,0.001694915254237288,1.4723428553275545e-17,case_upregulated,darkblue,,circle,30
YALI0E35046g,2,8.057322091450605e-05,0.005084745762711864,1.8695034713161958e-13,control_overexpressed,orange,,circle,30
YALI0C08723g,2,0.0,0.001694915254237288,0.0017226458525820723,control_overexpressed,orange,,circle,30
YALI0E26653g,2,0.0,0.001694915254237288,1.4723428553275545e-17,case_overexpressed,lightblue,,circle,30
YALI0C06864g,2,0.0,0.003389830508474576,3.8095763525576175e-07,case_overexpressed,lightblue,,circle,30
YALI0F26653g,2,0.00040286610457253026,0.003389830508474576,0.00017092576548374485,changed_regulation,green,,circle,30
YALI0E27390g,2,2.8776150326609306e-06,0.005084745762711864,9.940145076961665e-13,control_overexpressed,orange,,circle,30
YALI0F08415g,2,5.755230065321861e-06,0.003389830508474576,5.262317615102656e-16,case_overexpressed,lightblue,,circle,30
YALI0E19426g,2,0.003169322979400387,0.010169491525423728,8.899344171950866e-09,case_overexpressed,lightblue,,circle,30
YALI0C06347g,2,0.0013567931935958043,0.006779661016949152,1.746694739541429e-06,changed_regulation,green,,circle,30
YALI0B21472g,2,5.755230065321861e-06,0.003389830508474576,5.262317615102656e-16,changed_regulation,green,,circle,30
YALI0E19943g,2,0.0,0.0,5.616542264280527e-23,changed_regulation,green,,circle,30
YALI0F16511g,15,0.0,0.001694915254237288,1.4456191179495301e-08,control_overexpressed,orange,Transcription_Factor,roundrectangle,80
YALI0F30613g,2,0.0,0.001694915254237288,1.4723428553275545e-17,control_overexpressed,orange,,circle,30
YALI0D20526g,2,0.002480504158153722,0.005084745762711864,1.877495009386867e-09,case_overexpressed,lightblue,,circle,30
YALI0F26587g,2,0.000554468456543217,0.010169491525423728,7.905384468652517e-07,control_overexpressed,orange,,circle,30
YALI0E13508g,2,3.453138039193117e-05,0.005084745762711864,2.4887406671327424e-13,control_overexpressed,orange,,circle,30
YALI0A19668g,2,0.013617739367649335,0.006779661016949152,2.271029033254356e-06,changed_regulation,green,,circle,30
YALI0C05621g,2,0.0018616855405555596,0.010169491525423728,6.206265059479846e-07,case_overexpressed,lightblue,,circle,30
YALI0F16918g,2,2.302092026128745e-06,0.010169491525423728,5.439100384064136e-07,changed_regulation,green,,circle,30
YALI0C10142g,2,0.0,0.001694915254237288,2.5919808845947457e-09,case_upregulated,darkblue,,circle,30
YALI0E19272g,2,0.001254635553472516,0.015254237288135592,1.9114111997215698e-05,changed_regulation,green,,circle,30
YALI0C00671g,2,0.0,0.0,5.616542264280527e-23,changed_regulation,green,,circle,30
YALI0B20790g,2,0.0,0.001694915254237288,1.4723428553275545e-17,control_overexpressed,orange,,circle,30
YALI0C13420g,2,0.007803099939185026,0.011864406779661017,2.344042806933898e-06,changed_regulation,green,,circle,30
YALI0B12716g,15,0.0,0.001694915254237288,9.259485216202471e-07,changed_regulation,green,Transcription_Factor,roundrectangle,80
YALI0E24651g,2,0.0073163862765553665,0.013559322033898305,1.098761372410902e-06,changed_regulation,green,,circle,30
YALI0E00264g,2,0.0,0.0,5.616542264280527e-23,case_overexpressed,lightblue,,circle,30
YALI0E34067g,2,6.111506212222738e-06,0.010169491525423728,7.763026903281945e-06,case_overexpressed,lightblue,,circle,30
YALI0C03784g,2,5.947071067499256e-06,0.005084745762711864,3.393456064537531e-07,control_overexpressed,orange,,circle,30
YALI0F25861g,15,0.0,0.001694915254237288,2.7741991661881873e-07,control_overexpressed,orange,Transcription_Factor,roundrectangle,80
YALI0D10813g,2,0.0,0.001694915254237288,1.1835684219578008e-08,case_upregulated,darkblue,,circle,30
YALI0F05104g,15,1.9184100217739534e-06,0.005084745762711864,2.1905484686216527e-07,control_overexpressed,orange,Transcription_Factor,roundrectangle,80
YALI0C08327g,2,0.0018704497712296049,0.00847457627118644,3.1251564042422276e-08,changed_regulation,green,,circle,30
YALI0C22121g,2,1.8409357708946207e-05,0.006779661016949152,5.229633910952627e-07,control_overexpressed,orange,,circle,30
YALI0E11121g,2,0.0,0.001694915254237288,1.1654424360258615e-08,case_upregulated,darkblue,,circle,30
YALI0F03883g,2,0.0,0.0,5.616542264280527e-23,changed_regulation,green,,circle,30
YALI0C02629g,2,0.002130687564589027,0.010169491525423728,2.3527287642935326e-06,changed_regulation,green,,circle,30
YALI0A20570g,2,0.0,0.005084745762711864,6.883129680042099e-08,changed_regulation,green,,circle,30
YALI0E07051g,2,0.0,0.001694915254237288,3.721020470396529e-16,case_overexpressed,lightblue,,circle,30
YALI0C06237g,2,0.004920721705850191,0.005084745762711864,2.4361890682394112e-09,changed_regulation,green,,circle,30
YALI0E02662g,2,0.0,0.003389830508474576,2.849469018998068e-07,control_overexpressed,orange,,circle,30
YALI0E26125g,2,0.0,0.001694915254237288,1.4723428553275545e-17,case_overexpressed,lightblue,,circle,30
YALI0F23683g,2,0.0,0.0,5.616542264280527e-23,changed_regulation,green,,circle,30
YALI0F18964g,2,1.1510460130643722e-05,0.005084745762711864,2.2123675484441034e-07,case_overexpressed,lightblue,,circle,30
YALI0B09537g,2,0.0,0.001694915254237288,1.0571450937613857e-09,changed_regulation,green,,circle,30
YALI0B06710g,2,0.0,0.0,5.616542264280527e-23,changed_regulation,green,,circle,30
YALI0E25982g,2,0.0,0.001694915254237288,2.40332691893762e-08,control_overexpressed,orange,,circle,30
YALI0E00308g,2,0.0005626148476713927,0.01694915254237288,6.765177131320067e-07,control_upregulated,red,,circle,30
YALI0B03102g,2,0.0,0.001694915254237288,7.3682165639996255e-09,control_overexpressed,orange,,circle,30
YALI0D12969g,2,0.0,0.003389830508474576,2.7644794426845645e-06,changed_regulation,green,,circle,30
YALI0E13728g,2,0.0011103757206027643,0.00847457627118644,2.1651852973701783e-06,control_upregulated,red,,circle,30
YALI0B14861g,2,0.00019985254296908843,0.030508474576271184,0.2598695959984186,control_overexpressed,orange,,circle,30
YALI0B19800g,2,8.441004095805396e-05,0.006779661016949152,2.704048228274971e-07,control_overexpressed,orange,,circle,30
YALI0E17017g,2,0.0016662721533236735,0.003389830508474576,8.981926852161388e-09,case_overexpressed,lightblue,,circle,30
YALI0A19074g,2,0.004932232165980835,0.006779661016949152,4.179259498840228e-08,case_overexpressed,lightblue,,circle,30
YALI0A17946g,2,0.0005071961687560784,0.023728813559322035,0.19504074524103546,control_overexpressed,orange,,circle,30
YALI0B11770g,2,0.0027738290504829614,0.006779661016949152,0.00019063754705244377,control_upregulated,red,,circle,30
YALI0E04224g,2,0.0012431296941095217,0.003389830508474576,1.5136849154800122e-07,case_overexpressed,lightblue,,circle,30
YALI0F22231g,2,0.0,0.001694915254237288,9.21766034109581e-15,changed_regulation,green,,circle,30
YALI0A17281g,2,0.0,0.001694915254237288,1.5141845941793095e-08,case_upregulated,darkblue,,circle,30
YALI0E19250g,2,0.0,0.003389830508474576,4.192714464385425e-08,case_upregulated,darkblue,,circle,30
YALI0F26323g,2,0.0,0.0,5.616542264280527e-23,case_overexpressed,lightblue,,circle,30
YALI0C01969g,2,2.5167712428510677e-05,0.003389830508474576,0.004402330581377775,control_overexpressed,orange,,circle,30
YALI0F30789g,2,0.0,0.001694915254237288,3.721020470396529e-16,control_overexpressed,orange,,circle,30
YALI0D08646g,2,0.0,0.001694915254237288,5.88570571760851e-08,control_overexpressed,orange,,circle,30
YALI0E18568g,2,0.0,0.003389830508474576,1.5569503939554298e-10,changed_regulation,green,,circle,30
YALI0C19682g,2,0.0,0.0,5.616542264280527e-23,control_upregulated,red,,circle,30
YALI0E27093g,2,0.0008161696288340825,0.003389830508474576,3.50772611579437e-09,case_overexpressed,lightblue,,circle,30
YALI0F04620g,2,0.0,0.001694915254237288,3.721020470396529e-16,case_overexpressed,lightblue,,circle,30
YALI0B21318g,2,0.002073976132536687,0.006779661016949152,2.9690131524282083e-06,case_overexpressed,lightblue,,circle,30
YALI0E05621g,2,0.004903456015654226,0.003389830508474576,7.490131385664752e-09,case_overexpressed,lightblue,,circle,30
YALI0A16819g,2,0.0,0.0,5.616542264280527e-23,case_upregulated,darkblue,,circle,30
YALI0C23386g,2,0.0,0.001694915254237288,1.1610797962099369e-05,changed_regulation,green,,circle,30
YALI0A00396g,2,0.00012178415620043205,0.006779661016949152,6.486777045144786e-06,changed_regulation,green,,circle,30
YALI0E23089g,2,0.0003452882078058029,0.03559322033898305,0.2811278248019515,control_overexpressed,orange,,circle,30
YALI0F18744g,2,0.0,0.001694915254237288,1.4723428553275545e-17,case_upregulated,darkblue,,circle,30
YALI0D06303g,2,0.018477404516879275,0.00847457627118644,1.7867227069832632e-08,case_upregulated,darkblue,,circle,30
YALI0F04686g,2,0.0,0.001694915254237288,4.563006976311831e-09,changed_regulation,green,,circle,30
YALI0F14509g,2,0.001243129694109522,0.003389830508474576,6.1721380532524675e-09,case_overexpressed,lightblue,,circle,30
YALI0C06193g,2,0.0,0.001694915254237288,1.4723428553275545e-17,changed_regulation,green,,circle,30
YALI0D15158g,2,0.0,0.001694915254237288,3.825058221521803e-07,changed_regulation,green,,circle,30
YALI0D24585g,2,0.00027409352238188454,0.022033898305084745,0.16201721834412697,control_overexpressed,orange,,circle,30
YALI0F01210g,2,0.0,0.0,5.616542264280527e-23,case_upregulated,darkblue,,circle,30
YALI0F00858g,2,0.0003231231777045948,0.003389830508474576,1.0725443989312986e-07,changed_regulation,green,,circle,30
YALI0A19646g,2,6.814782677347784e-05,0.020338983050847456,1.3749827198039555e-05,case_overexpressed,lightblue,,circle,30
YALI0F17468g,15,0.022459560453376097,0.010169491525423728,2.9575850348760616e-06,case_upregulated,darkblue,Transcription_Factor,roundrectangle,80
YALI0F10615g,2,0.00040286610457253026,0.003389830508474576,0.0030700146452622406,control_upregulated,red,,circle,30
YALI0C07656g,2,0.003965792212061314,0.011864406779661017,2.4589958875522785e-07,case_upregulated,darkblue,,circle,30
YALI0E34529g,2,0.0,0.0,5.616542264280527e-23,control_overexpressed,orange,,circle,30
YALI0F25289g,2,0.0,0.001694915254237288,3.865916146059751e-11,changed_regulation,green,,circle,30
YALI0B13200g,15,0.022445362999096344,0.005084745762711864,6.2409500226041454e-09,case_overexpressed,lightblue,Transcription_Factor,roundrectangle,80
YALI0F16896g,2,0.0,0.003389830508474576,1.3401029506348475e-07,case_upregulated,darkblue,,circle,30
YALI0F00242g,2,0.0,0.001694915254237288,2.1554183197251985e-08,control_overexpressed,orange,,circle,30
YALI0E08206g,2,0.0,0.0,5.616542264280527e-23,case_upregulated,darkblue,,circle,30
YALI0D18634g,2,0.0037063681620672787,0.00847457627118644,4.791443497794646e-07,changed_regulation,green,,circle,30
YALI0A00330g,2,0.0,0.0,5.616542264280527e-23,control_overexpressed,orange,,circle,30
YALI0F22121g,2,0.0001162556473195016,0.00847457627118644,5.918383827127823e-07,control_overexpressed,orange,,circle,30
YALI0D09339g,2,5.755230065321861e-06,0.003389830508474576,5.262317615102656e-16,case_overexpressed,lightblue,,circle,30
YALI0F27753g,2,0.010773790682282524,0.005084745762711864,5.8340287820876405e-08,case_upregulated,darkblue,,circle,30
YALI0C22572g,2,0.0,0.001694915254237288,3.721020470396529e-16,case_upregulated,darkblue,,circle,30
YALI0B21868g,2,0.0,0.001694915254237288,1.4723428553275545e-17,control_overexpressed,orange,,circle,30
YALI0C02343g,2,0.0004604184052257489,0.003389830508474576,1.1576339616150754e-07,control_overexpressed,orange,,circle,30
YALI0B22308g,2,0.006100543869241173,0.005084745762711864,6.024026340793799e-08,case_upregulated,darkblue,,circle,30
YALI0E19470g,2,0.0,0.0,5.616542264280527e-23,control_overexpressed,orange,,circle,30
YALI0F18040g,2,0.0,0.001694915254237288,1.4723428553275545e-17,case_overexpressed,lightblue,,circle,30
YALI0F02123g,2,0.00025260889203925873,0.02542372881355932,0.2043117232890667,control_overexpressed,orange,,circle,30
YALI0F08943g,2,0.0,0.001694915254237288,2.41982553259076e-09,changed_regulation,green,,circle,30
YALI0B02728g,2,0.002173566369874738,0.013559322033898305,1.2607922066877297e-06,case_overexpressed,lightblue,,circle,30
YALI0C13244g,2,0.014669383785980376,0.01864406779661017,2.0165278340366395e-05,case_upregulated,darkblue,,circle,30
YALI0D09333g,2,0.0,0.001694915254237288,3.721020470396529e-16,case_overexpressed,lightblue,,circle,30
YALI0B14619g,2,0.00025649387941120553,0.013559322033898305,1.0219290003989907e-06,control_overexpressed,orange,,circle,30
YALI0D06501g,2,0.002656873479904464,0.00847457627118644,3.881048475056638e-07,case_upregulated,darkblue,,circle,30
YALI0B09273g,2,0.0,0.0,5.616542264280527e-23,case_upregulated,darkblue,,circle,30
YALI0E13750g,2,0.004532642157785583,0.010169491525423728,7.5782856017173815e-06,changed_regulation,green,,circle,30
YALI0D00451g,2,0.0005342598338085928,0.006779661016949152,3.058670100427593e-06,changed_regulation,green,,circle,30
YALI0D07282g,2,0.0,0.0,5.616542264280527e-23,case_overexpressed,lightblue,,circle,30
YALI0F14069g,2,0.002676663363078667,0.00847457627118644,5.05687613614637e-07,case_overexpressed,lightblue,,circle,30
YALI0F00968g,2,0.0,0.001694915254237288,1.4723428553275545e-17,changed_regulation,green,,circle,30
YALI0C13002g,15,0.0,0.001694915254237288,2.1554183197251985e-08,control_overexpressed,orange,Mutated_Gene,diamond,80
YALI0B20328g,2,0.00013237029150240282,0.003389830508474576,1.0261930088774232e-07,case_overexpressed,lightblue,,circle,30
YALI0D20460g,15,0.0,0.003389830508474576,1.8585921374121498e-06,case_upregulated,darkblue,Transcription_Factor,roundrectangle,80
YALI0F25113g,15,0.0,0.0,5.616542264280527e-23,control_upregulated,red,Transcription_Factor,roundrectangle,80
YALI0F23507g,2,0.003446677613061517,0.011864406779661017,4.098380546295966e-06,changed_regulation,green,,circle,30
YALI0D14608g,2,0.0,0.001694915254237288,1.4723428553275545e-17,control_overexpressed,orange,,circle,30
YALI0B07117g,2,0.007291876492762798,0.010169491525423728,1.7437739697112228e-07,changed_regulation,green,,circle,30
YALI0D21010g,2,0.0,0.001694915254237288,3.865916146059751e-11,changed_regulation,green,,circle,30
YALI0D23925g,2,0.004123321093128946,0.010169491525423728,5.682745515748007e-07,changed_regulation,green,,circle,30
YALI0A20680g,2,4.341270391925503e-05,0.022033898305084745,0.1877810351352729,control_overexpressed,orange,,circle,30
YALI0C19151g,15,0.001243129694109522,0.003389830508474576,5.977037110229843e-08,changed_regulation,green,Transcription_Factor,roundrectangle,80
YALI0E06083g,2,0.0004390102623291536,0.003389830508474576,3.1513532191435997e-07,changed_regulation,green,,circle,30
YALI0D23727g,2,0.002520994865972788,0.00847457627118644,5.3455569902986725e-06,changed_regulation,green,,circle,30
YALI0E32813g,2,0.00240879061174967,0.015254237288135592,1.0667587512118843e-06,case_overexpressed,lightblue,,circle,30
YALI0B05874g,2,0.00012566428899771828,0.015254237288135592,1.0624916344798025e-05,case_overexpressed,lightblue,,circle,30
YALI0F04169g,2,0.0,0.0,5.616542264280527e-23,case_upregulated,darkblue,,circle,30
YALI0D06930g,2,0.0,0.003389830508474576,1.2908728951405046e-07,changed_regulation,green,,circle,30
YALI0A02288g,2,0.0,0.001694915254237288,3.721020470396529e-16,changed_regulation,green,,circle,30
YALI0E22088g,2,0.0051901212846221685,0.011864406779661017,9.00540558359358e-09,case_overexpressed,lightblue,,circle,30
YALI0E18788g,2,0.0024747489280884,0.006779661016949152,1.67895476511148e-07,case_upregulated,darkblue,,circle,30
YALI0B21406g,2,0.003988840737286438,0.01864406779661017,1.54435060617929e-06,case_upregulated,darkblue,,circle,30
YALI0F20262g,2,0.0,0.001694915254237288,3.721020470396529e-16,control_overexpressed,orange,,circle,30
YALI0B16412g,2,0.0,0.001694915254237288,1.4723428553275545e-17,changed_regulation,green,,circle,30
YALI0D24970g,2,0.0007182346765503443,0.00847457627118644,0.02535938039480221,control_overexpressed,orange,,circle,30
YALI0B03630g,2,0.0,0.001694915254237288,1.4723428553275545e-17,case_overexpressed,lightblue,,circle,30
YALI0C21450g,2,0.0,0.0,5.616542264280527e-23,control_overexpressed,orange,,circle,30
YALI0F02255g,2,0.0,0.001694915254237288,1.7462792574229093e-06,case_upregulated,darkblue,,circle,30
YALI0F12375g,15,0.0,0.0,5.616542264280527e-23,control_overexpressed,orange,Mutated_Gene,diamond,80
YALI0F09812g,2,0.0,0.0,5.616542264280527e-23,control_overexpressed,orange,,circle,30
YALI0F27687g,2,0.0,0.0,5.616542264280527e-23,case_overexpressed,lightblue,,circle,30
YALI0B00814g,2,0.0,0.0,5.616542264280527e-23,control_overexpressed,orange,,circle,30
YALI0B21780g,2,0.0035155254712799853,0.011864406779661017,4.522925452075391e-07,case_upregulated,darkblue,,circle,30
YALI0C18263g,2,0.0024747489280884,0.003389830508474576,1.5862323703833437e-07,control_overexpressed,orange,,circle,30
YALI0D25542g,2,0.0,0.001694915254237288,1.4723428553275545e-17,changed_regulation,green,,circle,30
YALI0E11363g,2,0.0,0.001694915254237288,0.0001701370549297084,control_upregulated,red,,circle,30
YALI0C06776g,2,0.002057583669367434,0.003389830508474576,4.008719093974213e-08,case_upregulated,darkblue,,circle,30
YALI0E11517g,2,0.001243129694109522,0.003389830508474576,2.181539315215596e-08,case_upregulated,darkblue,,circle,30
YALI0C15323g,2,0.0,0.0,5.616542264280527e-23,changed_regulation,green,,circle,30
YALI0F10857g,2,0.0024747489280884,0.005084745762711864,1.0964024173803284e-09,changed_regulation,green,,circle,30
YALI0E26191g,2,0.0,0.0,5.616542264280527e-23,changed_regulation,green,,circle,30
YALI0B06138g,2,0.0,0.001694915254237288,1.4723428553275545e-17,control_overexpressed,orange,,circle,30
YALI0E19294g,2,3.724456027986861e-05,0.011864406779661017,5.798450668891545e-07,case_overexpressed,lightblue,,circle,30
YALI0E11385g,2,0.0,0.001694915254237288,3.721020470396529e-16,changed_regulation,green,,circle,30
YALI0E02200g,2,0.0,0.001694915254237288,1.4723428553275545e-17,changed_regulation,green,,circle,30
YALI0E32637g,2,0.0,0.003389830508474576,2.182486288176097e-13,control_overexpressed,orange,,circle,30
YALI0F23749g,2,0.0,0.001694915254237288,1.4723428553275545e-17,changed_regulation,green,,circle,30
YALI0E12023g,2,0.0,0.001694915254237288,3.721020470396529e-16,control_overexpressed,orange,,circle,30
YALI0F05610g,2,0.0,0.0,5.616542264280527e-23,case_overexpressed,lightblue,,circle,30
YALI0E29667g,2,0.00014679485749757393,0.02542372881355932,0.1887150270269758,control_overexpressed,orange,,circle,30
YALI0E15686g,2,0.0,0.003389830508474576,0.00031485824737752916,control_overexpressed,orange,,circle,30
YALI0E28237g,2,0.001243129694109522,0.003389830508474576,8.052951944876586e-08,case_upregulated,darkblue,,circle,30
