Gene,border,centrality_betweenness,centrality_degree,centrality_eigenvector_weighted,class,color,feature,shape,size
YALI0F11627g,2,0.00094180481230545,0.005279034690799397,3.455882541903572e-10,changed_regulation,green,,circle,30
YALI0F30261g,2,5.853238859928772e-05,0.0022624434389140274,1.6113408782005264e-12,changed_regulation,green,,circle,30
YALI0C03201g,2,0.0015118072046568197,0.01583710407239819,0.000575070810749506,control_upregulated,red,,circle,30
YALI0B06413g,2,0.0,0.0007541478129713424,3.1221974607260436e-12,changed_regulation,green,,circle,30
YALI0D03597g,2,0.023521931884352993,0.00904977375565611,2.1368431624612383e-06,case_overexpressed,lightblue,,circle,30
YALI0A10571g,2,0.0,0.0,7.01009922802087e-33,changed_regulation,green,,circle,30
YALI0B05852g,2,0.03139976403254829,0.015082956259426848,3.573867090273123e-07,changed_regulation,green,,circle,30
YALI0E32703g,2,0.0015278360486186563,0.00980392156862745,8.018872560120599e-10,changed_regulation,green,,circle,30
YALI0E32395g,2,0.0001950479391731473,0.0022624434389140274,7.703646271751168e-10,changed_regulation,green,,circle,30
YALI0D13640g,2,0.003369397376142203,0.004524886877828055,4.2101247177003113e-10,changed_regulation,green,,circle,30
YALI0F13343g,2,0.0010431562851621037,0.014328808446455506,1.7356849745616605e-05,case_overexpressed,lightblue,,circle,30
YALI0E22847g,2,0.004214943767371236,0.0022624434389140274,1.4408783374091613e-11,case_upregulated,darkblue,,circle,30
YALI0F10857g,2,0.0011827314380033582,0.0015082956259426848,3.758137053369511e-12,control_overexpressed,orange,,circle,30
YALI0D24101g,2,3.623703956667331e-05,0.003770739064856712,1.8035783800092587e-19,control_overexpressed,orange,,circle,30
YALI0C10428g,2,0.0,0.0,7.01009922802087e-33,case_upregulated,darkblue,,circle,30
YALI0A14707g,2,0.0,0.0,7.01009922802087e-33,case_upregulated,darkblue,,circle,30
YALI0F11121g,2,0.0,0.0007541478129713424,3.0388390181650425e-24,changed_regulation,green,,circle,30
YALI0D10813g,2,0.0,0.0007541478129713424,1.1178074515372132e-10,case_upregulated,darkblue,,circle,30
YALI0D25168g,2,0.0,0.0,7.01009922802087e-33,case_overexpressed,lightblue,,circle,30
YALI0A02849g,2,3.9820955278875595e-07,0.006033182503770739,0.04260308585870316,control_upregulated,red,,circle,30
YALI0E07139g,15,0.0,0.0,7.01009922802087e-33,case_overexpressed,lightblue,Mutated_Gene,diamond,80
YALI0F14487g,2,0.001191647501881281,0.00904977375565611,3.859264088218166e-11,changed_regulation,green,,circle,30
YALI0E29557g,2,0.0007011110113769657,0.01583710407239819,1.809196568328986e-05,case_overexpressed,lightblue,,circle,30
YALI0F08855g,2,0.0,0.0015082956259426848,1.0982248785035476e-12,changed_regulation,green,,circle,30
YALI0F23133g,2,0.0,0.0015082956259426848,1.5262650219079911e-06,case_overexpressed,lightblue,,circle,30
YALI0D08052g,2,0.0,0.0007541478129713424,3.302846628952631e-12,changed_regulation,green,,circle,30
