Gene,class,feature,centrality_degree,centrality_betweenness,centrality_eigenvector_weighted,color,shape,size,border
YALI0D08272g,case_upregulated,,0.010558069381598794,0.005708215985376816,2.3246639969039765e-08,darkblue,circle,30,2
YALI0A19470g,case_upregulated,,0.00904977375565611,0.002806373663063639,2.507954796663759e-08,darkblue,circle,30,2
YALI0B08118g,changed_regulation,,0.012066365007541479,0.00685862571456222,2.2949777107683708e-08,green,circle,30,2
YALI0B08272g,case_upregulated,,0.011312217194570135,0.023227714987321138,1.5923932423316632e-08,darkblue,circle,30,2
YALI0B14102g,case_upregulated,,0.011312217194570135,0.006477999580481432,3.283388141513479e-08,darkblue,circle,30,2
YALI0C23903g,case_upregulated,,0.006787330316742082,0.002743423410427476,1.6575610830208944e-08,darkblue,circle,30,2
YALI0C24145g,changed_regulation,,0.005279034690799397,0.008306375089248138,5.101726989323145e-09,green,circle,30,2
YALI0D13442g,case_upregulated,,0.008295625942684766,0.011194043995412297,1.4474358277397445e-08,darkblue,circle,30,2
YALI0D16423g,case_upregulated,,0.012820512820512822,0.007553942170139063,5.104654076808339e-08,darkblue,circle,30,2
YALI0D26510g,case_upregulated,,0.0015082956259426848,0.0,2.7916822828238278e-09,darkblue,circle,30,2
YALI0E05599g,case_upregulated,,0.013574660633484163,0.041641916970087206,2.3532909287960335e-08,darkblue,circle,30,2
YALI0E33649g,case_upregulated,,0.011312217194570135,0.007798732969382247,3.1065173447046724e-08,darkblue,circle,30,2
YALI0F22209g,case_upregulated,,0.015082956259426848,0.023967843265344877,6.192349177123663e-08,darkblue,circle,30,2
YALI0F08569g,changed_regulation,,0.005279034690799397,0.0,1.899197355932258e-08,green,circle,30,2
YALI0A00154g,changed_regulation,,0.003770739064856712,2.4392139265503023e-05,1.3794625161125743e-10,green,circle,30,2
YALI0E05137g,changed_regulation,,0.006033182503770739,0.006922093635483373,1.6361585690399306e-10,green,circle,30,2
YALI0E05247g,changed_regulation,,0.010558069381598794,0.00708093842116811,7.264304448042974e-10,green,circle,30,2
YALI0E05709g,changed_regulation,,0.00980392156862745,0.00424475262795878,5.324981178958694e-10,green,circle,30,2
YALI0E19426g,changed_regulation,,0.006033182503770739,0.0011086389336256092,2.7194733122264757e-10,green,circle,30,2
YALI0E22088g,changed_regulation,,0.006033182503770739,0.007122257675969273,1.7562021919850537e-10,green,circle,30,2
YALI0F06776g,case_upregulated,,0.0,0.0,7.010099228020875e-33,darkblue,circle,30,2
YALI0D13024g,changed_regulation,,0.003770739064856712,8.343078344845881e-05,6.876533859713292e-12,green,circle,30,2
YALI0F30459g,changed_regulation,,0.007541478129713424,0.01264366567605034,1.535389685771406e-11,green,circle,30,2
YALI0A00506g,case_overexpressed,,0.01809954751131222,0.0035938692549007415,1.813321567141729e-05,lightblue,circle,30,2
YALI0B03476g,case_overexpressed,,0.016591251885369532,0.002386172027353328,1.717261269709645e-05,lightblue,circle,30,2
YALI0B05874g,case_overexpressed,,0.0196078431372549,0.0016017594195306046,2.359126369125574e-05,lightblue,circle,30,2
YALI0B10758g,case_overexpressed,,0.008295625942684766,0.0010457980634129365,4.6497008306155985e-06,lightblue,circle,30,2
YALI0B12738g,case_overexpressed,,0.012820512820512822,0.000534918053850209,1.4201540405278904e-05,lightblue,circle,30,2
YALI0B14201g,case_overexpressed,,0.013574660633484163,0.015166450032704074,1.3479428812071391e-05,lightblue,circle,30,2
YALI0B16324g,case_overexpressed,,0.0196078431372549,0.0011057549138708545,2.1833300347730616e-05,lightblue,circle,30,2
YALI0B17006g,case_overexpressed,,0.00904977375565611,0.007466109831127178,6.181810846802152e-06,lightblue,circle,30,2
YALI0B19206g,case_overexpressed,,0.01583710407239819,0.0008529585651994936,1.896857906610086e-05,lightblue,circle,30,2
YALI0C06460g,case_overexpressed,,0.010558069381598794,0.002017933973401145,5.852450691333406e-06,lightblue,circle,30,2
YALI0C08096g,case_overexpressed,,0.024132730015082957,0.003360359447029477,2.6859494601774265e-05,lightblue,circle,30,2
YALI0C12496g,changed_regulation,,0.014328808446455506,0.00021114245229544423,1.8338644807572906e-05,green,circle,30,2
YALI0D07810g,case_overexpressed,,0.015082956259426848,0.0024237884661949846,1.711650962862983e-05,lightblue,circle,30,2
YALI0D12232g,case_overexpressed,,0.01809954751131222,0.00025121840646343435,2.2581803174726356e-05,lightblue,circle,30,2
YALI0D13112g,case_overexpressed,,0.012066365007541479,0.036196027547519175,5.042525039605816e-06,lightblue,circle,30,2
YALI0D17710g,case_overexpressed,,0.01583710407239819,0.00041754072654843436,1.8922403485499257e-05,lightblue,circle,30,2
YALI0E07491g,case_overexpressed,,0.020361990950226245,0.024624024760516505,2.2488029787843645e-05,lightblue,circle,30,2
YALI0E20449g,case_overexpressed,Transcription_Factor,0.011312217194570135,0.004864492674315019,7.321828412484873e-06,lightblue,roundrectangle,80,15
YALI0E34067g,case_overexpressed,,0.013574660633484163,8.764216685013471e-05,1.7013350468942622e-05,lightblue,circle,30,2
YALI0E34375g,case_overexpressed,,0.012820512820512822,0.0009103608417886295,1.3672660176495306e-05,lightblue,circle,30,2
YALI0F07128g,case_overexpressed,,0.004524886877828055,0.00080815029079349,4.920521443362328e-06,lightblue,circle,30,2
YALI0F07601g,case_overexpressed,,0.006787330316742082,1.2904798492764094e-05,7.531795974721589e-06,lightblue,circle,30,2
