Gene,border,centrality_betweenness,centrality_degree,centrality_eigenvector_weighted,class,color,feature,shape,size
YALI0D08272g,2,0.005908002515375274,0.009779951100244499,3.168629285283245e-08,upregulated,red,,circle,30
YALI0A19470g,2,0.002818095170161489,0.007946210268948655,2.9619384062729767e-08,upregulated,red,,circle,30
YALI0B08118g,2,0.0287616884119115,0.011613691931540342,3.210744896695806e-08,upregulated,red,,circle,30
YALI0B08272g,2,0.04312956188132483,0.008557457212713936,1.8256177627843722e-08,upregulated,red,,circle,30
YALI0B14102g,2,0.013128433241731817,0.01039119804400978,4.1774048656782144e-08,upregulated,red,,circle,30
YALI0B15125g,2,0.0,0.003056234718826406,1.028339338004501e-08,upregulated,red,,circle,30
YALI0C23903g,2,0.004953453176865748,0.006723716381418093,2.2464867367677743e-08,upregulated,red,,circle,30
YALI0C24145g,2,0.005830814809041431,0.003667481662591687,5.907107576884584e-09,changed_regulation,green,,circle,30
YALI0D13442g,2,0.011761352172782643,0.008557457212713936,1.822223308681983e-08,upregulated,red,,circle,30
YALI0D16423g,2,0.00811397572722582,0.011613691931540342,6.843420814595213e-08,upregulated,red,,circle,30
YALI0D26510g,2,0.0,0.0012224938875305623,3.1495947256182116e-09,changed_regulation,green,,circle,30
YALI0E05599g,2,0.009178297186300843,0.011613691931540342,2.8492756856722634e-08,upregulated,red,,circle,30
YALI0E33649g,2,0.0150817715617252,0.011002444987775062,4.253969299512455e-08,upregulated,red,,circle,30
YALI0E34170g,2,0.06548166036045062,0.014669926650366748,6.51561643507054e-08,upregulated,red,,circle,30
YALI0F22209g,2,0.02283931304545824,0.014058679706601468,9.19454205816863e-08,upregulated,red,,circle,30
YALI0A00154g,2,3.4168577297825696e-05,0.003056234718826406,2.1112635576050683e-11,changed_regulation,green,,circle,30
YALI0E05137g,2,0.005859493175996982,0.004889975550122249,6.151007150005265e-11,changed_regulation,green,,circle,30
YALI0E05247g,2,0.0067004541258441535,0.007946210268948655,9.613548481101817e-11,changed_regulation,green,,circle,30
YALI0E05709g,2,0.002567901755939049,0.007334963325183374,7.387281050795257e-11,changed_regulation,green,,circle,30
YALI0E19426g,2,0.0007941246406214953,0.004889975550122249,4.9218479333616546e-11,changed_regulation,green,,circle,30
YALI0E22088g,2,0.006113356215490373,0.004889975550122249,3.914360399470746e-11,changed_regulation,green,,circle,30
YALI0A00330g,2,0.0,0.0006112469437652812,5.3417037919499606e-12,lowly_expressed,lightblue,,circle,30
YALI0E25608g,2,0.0012144483748666537,0.0018337408312958435,1.127373594922333e-10,lowly_expressed,lightblue,,circle,30
YALI0A00396g,2,0.0,0.0024449877750611247,4.802391327478132e-12,changed_regulation,green,,circle,30
YALI0A04697g,2,0.0009691686333888471,0.006723716381418093,1.2890148614607727e-11,changed_regulation,green,,circle,30
YALI0D13024g,2,7.0693602796913e-05,0.006112469437652812,1.0679429545692214e-11,changed_regulation,green,,circle,30
YALI0F12067g,2,0.005514814172058281,0.011613691931540342,1.8379474961468127e-11,changed_regulation,green,,circle,30
YALI0F30459g,2,0.010923176418096528,0.009168704156479218,1.3348364546988916e-11,changed_regulation,green,,circle,30
YALI0A00506g,2,0.00316648745033415,0.01650366748166259,3.590857296273224e-05,changed_regulation,green,,circle,30
YALI0A17919g,2,0.0016233331029948748,0.006723716381418093,6.962948493366019e-06,upregulated,red,,circle,30
YALI0B03476g,2,0.000814343416022746,0.013447432762836185,3.242522917017556e-05,changed_regulation,green,,circle,30
YALI0B05874g,2,0.004749616035235036,0.017114914425427872,4.6075364142784694e-05,changed_regulation,green,,circle,30
YALI0B05962g,2,8.147437581793576e-05,0.004278728606356968,4.793635394207507e-06,highly_expressed,orange,,circle,30
YALI0B12738g,2,4.9517225480163024e-05,0.009779951100244499,2.622362586842577e-05,changed_regulation,green,,circle,30
YALI0B14201g,2,0.030220305112489958,0.011613691931540342,2.7037469730801106e-05,highly_expressed,orange,,circle,30
YALI0B15356g,2,2.224015573434267e-07,0.003056234718826406,9.015497360505288e-06,changed_regulation,green,,circle,30
YALI0B16324g,2,0.003801200936145849,0.01650366748166259,4.275885742188467e-05,changed_regulation,green,,circle,30
YALI0B19206g,2,0.003475690008871693,0.014669926650366748,3.8439416557535545e-05,changed_regulation,green,,circle,30
YALI0B21384g,2,0.0010108940280986669,0.003056234718826406,5.308281132524842e-06,changed_regulation,green,,circle,30
YALI0B22220g,2,0.008857992342560437,0.009168704156479218,1.7525114613241612e-05,changed_regulation,green,,circle,30
YALI0C06460g,2,0.004236163375708449,0.009168704156479218,1.1997583210261513e-05,highly_expressed,orange,,circle,30
YALI0C08096g,2,0.005617355474798507,0.020171149144254278,5.189823385852634e-05,changed_regulation,green,,circle,30
YALI0C12496g,2,0.00031489324780757444,0.012224938875305624,3.5456148965777194e-05,changed_regulation,green,,circle,30
YALI0D07810g,2,0.003869690869306744,0.012224938875305624,3.2502185997359124e-05,changed_regulation,green,,circle,30
YALI0D12232g,2,0.0030663618728769587,0.015281173594132029,4.29764955732742e-05,changed_regulation,green,,circle,30
YALI0D17710g,2,0.00013284193999570963,0.012836185819070905,3.583067170075687e-05,changed_regulation,green,,circle,30
YALI0E07491g,2,0.00267053186675464,0.017114914425427872,4.414559223381687e-05,changed_regulation,green,,circle,30
YALI0E10879g,2,9.731105614367154e-05,0.007946210268948655,1.89887404212329e-05,changed_regulation,green,,circle,30
YALI0E20449g,15,0.009474647157757098,0.01039119804400978,1.3967349733754166e-05,highly_expressed,orange,Transcription_Factor,roundrectangle,80
YALI0E24673g,2,0.00042256467036375317,0.005501222493887531,4.016979012223497e-06,highly_expressed,orange,,circle,30
YALI0E34067g,2,0.0015661463649492206,0.012224938875305624,3.4047470878056444e-05,highly_expressed,orange,,circle,30
YALI0E34375g,2,0.0009765980979309806,0.01039119804400978,2.713349522213824e-05,changed_regulation,green,,circle,30
YALI0F07128g,2,0.0004282702754809691,0.004889975550122249,9.645038102158027e-06,highly_expressed,orange,,circle,30
YALI0F07601g,2,9.36108296624798e-05,0.004889975550122249,1.382382575201232e-05,changed_regulation,green,,circle,30
YALI0F13343g,2,0.003275741635628536,0.012224938875305624,3.394193238327648e-05,changed_regulation,green,,circle,30
YALI0F27027g,2,0.001382781570456906,0.014058679706601468,3.0387994123376798e-05,highly_expressed,orange,,circle,30
YALI0C16863g,15,0.00010446054891119695,0.0024449877750611247,3.3333107294118535e-12,changed_regulation,green,Transcription_Factor,roundrectangle,80
YALI0D22638g,2,0.00107022423538155,0.007946210268948655,1.5244074487850126e-11,changed_regulation,green,,circle,30
YALI0A00682g,2,0.0023560481333138377,0.003667481662591687,1.7467006070657657e-11,changed_regulation,green,,circle,30
YALI0A01452g,2,0.02470009906932819,0.004889975550122249,1.897918678257358e-11,changed_regulation,green,,circle,30
YALI0D17666g,2,0.007860679622288088,0.004889975550122249,6.097607238158964e-11,changed_regulation,green,,circle,30
YALI0E05841g,2,0.030058211323488862,0.006112469437652812,6.329647203718678e-11,changed_regulation,green,,circle,30
YALI0E25047g,2,0.01282507399296217,0.007334963325183374,5.602479467762605e-11,changed_regulation,green,,circle,30
YALI0F08987g,2,0.002071153384455601,0.0018337408312958435,6.5325330783931425e-12,changed_regulation,green,,circle,30
YALI0F23507g,2,0.011656114273616963,0.005501222493887531,6.210968437638481e-11,changed_regulation,green,,circle,30
YALI0A00847g,2,0.0,0.0006112469437652812,3.270807805697453e-32,highly_expressed,orange,,circle,30
YALI0C12595g,2,7.477026835049311e-07,0.0012224938875305623,4.625620758733121e-32,highly_expressed,orange,,circle,30
YALI0A03025g,2,0.0009678658563938946,0.006112469437652812,3.250763877703027e-08,upregulated,red,,circle,30
YALI0B02728g,2,0.012559082423348524,0.011613691931540342,9.001914110175383e-08,upregulated,red,,circle,30
YALI0B10516g,2,0.007093148393343735,0.017726161369193152,1.1693793058102459e-07,upregulated,red,,circle,30
YALI0B14399g,2,0.0019094130198780057,0.011002444987775062,4.6703777808442104e-08,upregulated,red,,circle,30
YALI0B20240g,2,0.001011524491076582,0.0024449877750611247,5.228553534928766e-09,highly_expressed,orange,,circle,30
YALI0D05995g,2,0.0,0.0018337408312958435,9.311129933966423e-09,upregulated,red,,circle,30
YALI0D07084g,2,0.012106322574444014,0.011613691931540342,4.982428375208297e-08,upregulated,red,,circle,30
YALI0D23331g,2,0.06530249061523306,0.015281173594132029,1.0266635408472953e-07,upregulated,red,,circle,30
YALI0E03014g,2,0.007831718109040004,0.013447432762836185,8.176954842721282e-08,upregulated,red,,circle,30
YALI0E34687g,2,0.015340551029746994,0.012224938875305624,7.648520464461266e-08,upregulated,red,,circle,30
YALI0F04972g,2,0.0,0.0,3.040391144120668e-43,highly_expressed,orange,,circle,30
YALI0F15389g,2,0.0010060422026043894,0.007334963325183374,3.600114067184314e-08,upregulated,red,,circle,30
YALI0A01023g,2,7.477026835049311e-06,0.0018337408312958435,8.093079014930693e-27,lowly_expressed,lightblue,,circle,30
YALI0A08165g,2,3.065581002370218e-05,0.003056234718826406,1.1204466935815544e-26,lowly_expressed,lightblue,,circle,30
YALI0C20647g,2,0.0,0.0006112469437652812,3.0449435185228197e-27,lowly_expressed,lightblue,,circle,30
YALI0D25872g,2,0.0,0.0012224938875305623,7.26065262838021e-27,lowly_expressed,lightblue,,circle,30
YALI0A01067g,2,0.0,0.0006112469437652812,2.8969627107028766e-14,changed_regulation,green,,circle,30
YALI0C06237g,2,0.0010108940280986669,0.0012224938875305623,4.3438416179442685e-13,changed_regulation,green,,circle,30
YALI0A21010g,2,0.005961740481544545,0.007334963325183374,3.3903367586419286e-07,highly_expressed,orange,,circle,30
YALI0D03597g,2,0.024923674743008408,0.009779951100244499,3.671746878982043e-06,highly_expressed,orange,,circle,30
YALI0A01419g,2,0.0011268018426527444,0.008557457212713936,0.0007894995610995662,downregulated,darkblue,,circle,30
YALI0A09438g,2,0.020705213915109235,0.014669926650366748,0.0014243068188983885,downregulated,darkblue,,circle,30
YALI0B01540g,2,1.2446909757970656e-05,0.007946210268948655,0.0008725577651939986,downregulated,darkblue,,circle,30
YALI0B20372g,2,5.4223317147768116e-05,0.009779951100244499,0.0007588882866169307,downregulated,darkblue,,circle,30
YALI0C03201g,2,0.006513590135718559,0.012836185819070905,0.001966973363036325,downregulated,darkblue,,circle,30
