Gene,Class,Feature
RPR1_1,no_change,
RPR1_2,no_change,
SCR1,no_change,
SNR14,no_change,
SNR17_1,no_change,
SNR17_2,no_change,
SNR17_3,no_change,
SNR20,no_change,
SNR6,no_change,
SNR7,no_change,
SRN19_1,no_change,
SRN19_2,no_change,
YALI0A00110g,no_change,
YALI0A00132g,no_change,
YALI0A00154g,lowly_expressed_gene,
YALI0A00176g,no_change,
YALI0A00198g,no_change,
YALI0A00212g,no_change,
YALI0A00220r,no_change,
YALI0A00264g,no_change,
YALI0A00286g,no_change,
YALI0A00297g,no_change,
YALI0A00308t,no_change,
YALI0A00330g,no_change,
YALI0A00352g,no_change,
YALI0A00369g,no_change,
YALI0A00374g,no_change,Mutated_Gene
YALI0A00396g,lowly_expressed_gene,
YALI0A00418g,no_change,
YALI0A00440g,no_change,
YALI0A00462r,no_change,
YALI0A00506g,no_change,
YALI0A00528g,no_change,
YALI0A00550g,no_change,
YALI0A00572g,no_change,
YALI0A00594g,no_change,
YALI0A00616g,no_change,
YALI0A00638g,no_change,
YALI0A00660g,lowly_expressed_gene,
YALI0A00682g,no_change,
YALI0A00715r,no_change,
YALI0A00759g,no_change,
YALI0A00781g,no_change,
YALI0A00792r,no_change,
YALI0A00803g,no_change,
YALI0A00825g,no_change,
YALI0A00847g,highly_expressed_gene,
YALI0A00869g,no_change,
YALI0A00891g,no_change,
YALI0A00913g,no_change,
YALI0A00935g,no_change,
YALI0A00957g,highly_expressed_gene,
YALI0A00979g,no_change,
YALI0A01001g,no_change,
YALI0A01023g,downregulated,
YALI0A01045g,no_change,
YALI0A01067g,highly_expressed_gene,
YALI0A01089g,highly_expressed_gene,
YALI0A01111g,no_change,
YALI0A01133g,upregulated,
YALI0A01155g,no_change,
YALI0A01177r,no_change,
YALI0A01221r,no_change,
YALI0A01265g,no_change,
YALI0A01287r,no_change,
YALI0A01331g,no_change,
YALI0A01353g,no_change,
YALI0A01375g,downregulated,
YALI0A01397g,downregulated,
YALI0A01419g,no_change,
YALI0A01441g,no_change,
YALI0A01452g,changed_regulation,
