Gene,WT_NoIL_Shock_rep1,WT_NoIL_Shock_rep2,WT_NoIL_Shock_rep3,WT_NoIL_Early_rep1,WT_NoIL_Early_rep2,WT_NoIL_Mid_rep1,WT_NoIL_Mid_rep2,WT_IL_Shock_rep1,WT_IL_Shock_rep2,WT_IL_Shock_rep3,WT_IL_Early_rep1,WT_IL_Early_rep2,WT_IL_Early_rep3,WT_IL_Mid_rep1,WT_IL_Mid_rep2,MT_NoIL_Shock_rep1,MT_NoIL_Shock_rep2,MT_NoIL_Shock_rep3,MT_NoIL_Early_rep1,MT_NoIL_Early_rep2,MT_NoIL_Early_rep3,MT_NoIL_Mid_rep1,MT_NoIL_Mid_rep2,MT_IL_Shock_rep1,MT_IL_Shock_rep2,MT_IL_Early_rep1,MT_IL_Early_rep2,MT_IL_Mid_rep1,MT_IL_Mid_rep2
YALI0D08272g,1191.367449,1129.927281,1190.699866,1788.061496,1925.602855,2484.817791,2543.055038,1006.378542,967.9817011,1025.130878,2131.69595,2301.104186,2323.846679,1344.064821,803.9841244,755.679552,779.6870985,739.4210825,1681.889284,1537.31763,1550.994525,1630.929995,1719.564157,2087.754528,2013.643703,1467.416853,2398.19501,2255.496796,2134.508959
YalifMr30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YalifMt32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YalifMt33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YalifMt34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YalifMt35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YalifMt36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YalifMt37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YalifMt38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YalifMt39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YalifMt40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YalifMt41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YalifMt42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YalifMt43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YalifMt44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
