Gene,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,WT_t2_rep1,WT_t2_rep2,MT_t1_rep1,MT_t1_rep2,MT_t2_rep1,MT_t2_rep2
YALI0D08272g,2131.69595,2301.104186,2323.846679,1344.064821,803.9841244,1467.416853,2398.19501,2255.496796,2134.508959
YalifMr30,0,0,0,0,0,0,0,0,0
YalifMt32,0,0,0,0,0,0,0,0,0
YalifMt33,0,0,0,0,0,0,0,0,0
YalifMt34,0,0,0,0,0,0,0,0,0
YalifMt35,0,0,0,0,0,0,0,0,0
YalifMt36,0,0,0,0,0,0,0,0,0
YalifMt37,0,0,0,0,0,0,0,0,0
YalifMt38,0,0,0,0,0,0,0,0,0
YalifMt39,0,0,0,0,0,0,0,0,0
YalifMt40,0,0,0,0,0,0,0,0,0
YalifMt41,0,0,0,0,0,0,0,0,0
YalifMt42,0,0,0,0,0,0,0,0,0
YalifMt43,0,0,0,0,0,0,0,0,0
YalifMt44,0,0,0,0,0,0,0,0,0
YalifMt45,0,0,0,0,0,0,0,0,0
nd6,0,0,0,0,0,0,0,0,0
nd1,0,0,0,0,0,0,0,0,0
YalifMt46,0,0,0,0,0,0,0,0,0
YalifMt47,0,0,0,0,0,0,0,0,0
YalifMr31,0,0,0,0,0,0,0,0,0
YalifMt48,0,0,0,0,0,0,0,0,0
YalifMt49,0,0,0,0,0,0,0,0,0
YalifMt50,0,0,0,0,0,0,0,0,0
cox1-i1,0,0,0,0,0,0,0,0,0
cox1-i2,0,0,0,0,0,0,0,0,0
cox1-i3,0,0,0,0,0,0,0,0,0
cox1-i4,0,0,0,0,0,0,0,0,0
cox1-i5,0,0,0,0,0,0,0,0,0
cox1-i7,0,0,0,0,0,0,0,0,0
cox1-i9,0,0,0,0,0,0,0,0,0
cox1,0,0,0,0,0,0,0,0,0
cox1-i6,0,0,0,0,0,0,0,0,0
atp8,0,0,0,0,0,0,0,0,0
atp6,0,0,0,0,0,0,0,0,0
cox3,0,0,0,0,0,0,0,0,0
cox3-i3,0,0,0,0,0,0,0,0,0
nd4,0,0,0,0,0,0,0,0,0
YalifMt51,0,0,0,0,0,0,0,0,0
YalifMt52,0,0,0,0,0,0,0,0,0
YalifMt53,0,0,0,0,0,0,0,0,0
atp9,0,0,0,0,0,0,0,0,0
YalifMt54,0,0,0,0,0,0,0,0,0
cox2,0,0,0,0,0,0,0,0,0
nd4L,0,0,0,0,0,0,0,0,0
nd5-i1,0,0,0,0,0,0,0,0,0
nd1-i2,0,0,0,0,0,0,0,0,0
nd5,0,0,0,0,0,0,0,0,0
YalifMt55,0,0,0,0,0,0,0,0,0
YalifMt56,0,0,0,0,0,0,0,0,0
cob-i1,0,0,0,0,0,0,0,0,0
cob-i2,0,0,0,0,0,0,0,0,0
cob-i3,0,0,0,0,0,0,0,0,0
cob-i4,0,0,0,0,0,0,0,0,0
cob,0,0,0,0,0,0,0,0,0
YalifMt58,0,0,0,0,0,0,0,0,0
nd2,0,0,0,0,0,0,0,0,0
nd3,0,0,0,0,0,0,0,0,0
YalifMt57,0,0,0,0,0,0,0,0,0
YALI0A00110g,0.054305667,0,0.059155285,0.471955413,0.227363722,0,0.053536143,0,0
YALI0A00132g,638.3151993,698.6465904,779.743639,563.6382049,1002.107613,1200.02149,1154.603754,810.1700297,545.9529704
YALI0A00154g,4406.100338,4480.250435,6323.808746,1037.702497,193.4855312,128.6862093,1851.107398,2408.309671,4538.065403
YALI0A00176g,1.139368547,2.926413167,1.937352906,0.966042381,0.186155714,0.503164136,2.725871471,3.99757194,8.030947244
YALI0A00198g,1.014586227,0,0.200943826,2.74830734,0.308931564,0.313131572,0,0,0.559690186
YALI0A00212g,20.71530279,13.24023791,17.41611376,7.163262935,8.323712537,1.769973913,3.255146623,6.324654384,16.08186044
YALI0A00220r,0,0,0,0,0,0,0,0,0
YALI0A00264g,271.2522856,311.0975994,319.8877008,255.9929007,346.849984,297.5185882,277.2769679,251.0999824,198.3460345
YALI0A00286g,212.5046978,214.0046261,258.0028879,181.0450563,265.6196097,270.4666172,231.5320653,253.8510497,215.4682084
YALI0A00297g,0,0,0,0,0,0,0,0,0
YALI0A00308t,0,0,0,0,0,0,0,0,0
YALI0A00330g,50.68595659,52.51536672,49.61969801,51.94290318,43.72235816,46.54188548,38.12192767,43.98565139,44.7429747
YALI0A00352g,1365.942809,1468.976699,1679.394108,1004.103976,1278.261422,1711.100107,1569.308809,1350.387976,980.819042
YALI0A00369g,0.983957209,1.474393692,0.584632793,2.665339571,0.149802664,0.759196358,0.573190267,0.879839733,0.610643114
YALI0A00374g,0.497295601,1.745615686,1.444547228,2.572534187,0.832819006,0.281380468,0.122562201,0.917140631,0.377203788
YALI0A00396g,353.3645607,268.4981315,257.1411828,577.4287865,99.44039978,273.9483537,286.1028069,301.3250035,309.2497058
YALI0A00418g,7.857577474,10.81297884,9.133082972,9.21043462,2.64651373,5.265635973,5.128093267,5.289221727,4.195344356
YALI0A00440g,184.6235969,176.8757563,152.5668873,241.324287,93.23289796,102.6245484,168.2533892,224.4973924,171.5810222
YALI0A00462r,0,0,0,0,0,0,0,0,0
YALI0A00506g,25.08843991,23.25022159,19.2426112,38.1774997,41.00410604,40.96355975,68.44348621,67.75676605,56.36420329
YALI0A00528g,0.447253277,0,0,0,0.898815984,0.050613091,0,0,0
YALI0A00550g,1.247601246,2.366481939,1.164869851,2.600000341,1.343155464,0.857187868,0.614961218,1.533931113,1.791245308
YALI0A00572g,1.472009178,2.13809887,2.764591188,1.575470615,1.232584018,0.172322942,0.250198354,0.374449993,0.770023436
YALI0A00594g,232.3584785,256.1349486,251.5473234,226.9515983,301.0563235,384.781901,337.5393412,307.3409349,209.1121308
YALI0A00616g,56.07390976,55.67040757,52.7274912,22.82663629,32.8423458,25.23572947,30.39872158,36.82272533,40.91593944
YALI0A00638g,46.13896749,60.66150039,50.83564835,104.4494818,107.1306395,67.60123879,67.70613195,70.25952331,64.37499057
YALI0A00660g,52.3168117,87.97287864,71.89008826,116.9412844,37.51170892,78.46589787,65.37010656,72.02718826,151.28586
YALI0A00682g,10.2064907,16.67379618,18.97946438,11.39701464,3.792774453,3.041298701,4.376017023,7.332581531,13.39914349
YALI0A00715r,0,0,0,0,0,0,0,0,0
YALI0A00759g,38.36943222,43.63284871,41.87447205,28.17618945,46.96488234,23.09774071,31.47403945,32.80994643,40.15422315
YALI0A00781g,21.66919537,34.64246009,29.86400762,30.02433233,28.47007194,29.12808922,39.47864667,36.87245017,29.78512876
YALI0A00792r,0,0,0,0,0,0,0,0,0
YALI0A00803g,153.5240658,167.8873305,181.1682286,88.37369933,136.5532836,121.4296022,110.6489676,113.2940716,90.94778432
YALI0A00825g,11.29742745,11.7306666,9.72418481,16.53077627,17.35718845,11.7002389,14.41887792,15.90556017,17.9035364
YALI0A00847g,48.22624125,51.95801972,39.62231157,32.89709407,43.63325438,53.88112542,66.07652259,60.0062391,62.98183215
YALI0A00869g,0.195500401,0.268532184,0.692116829,0,0.982211281,0,0.096365057,0.18027644,0.222433574
YALI0A00891g,160.0559469,169.4405289,179.0794925,141.4405908,98.13204465,125.7418968,170.4542612,173.0151978,167.47794
YALI0A00913g,52.69748368,63.1300265,58.77513524,44.39872866,47.5792558,35.94470441,51.15938323,54.72854354,57.18753405
YALI0A00935g,2.215366698,2.028630988,2.413203897,0,0.371006598,0,0,0.136190146,0.840189123
YALI0A00957g,25.9021848,11.0688018,25.8212817,15.98174086,6.441018514,1.421188767,1.083309165,2.412639996,4.286633779
YALI0A00979g,46.1328328,53.38953555,58.96661225,35.76664052,27.57470051,18.74413368,19.88501926,18.434168,37.18854491
YALI0A01001g,51.8082833,68.96727218,68.1653226,85.2730235,48.71491339,30.68891796,36.50927652,37.2180128,40.79129831
YALI0A01023g,52.83516118,40.53595776,54.63390743,16.99236316,6.548833789,2.63525804,8.121591618,16.63867447,76.46935754
YALI0A01045g,75.8286671,99.83754717,79.61561858,80.5363638,35.85599247,95.11315374,108.2050713,107.2555973,75.35186465
YALI0A01067g,140.0715944,178.5840743,174.5451575,192.8224624,91.25316821,222.4379597,110.3176533,113.9292472,190.6585529
YALI0A01089g,31.05839447,56.8808961,38.18296617,317.3782825,129.7208501,546.0670248,33.30475005,65.26574931,52.32618473
YALI0A01111g,42.02147831,46.61932327,41.66615911,60.53172941,34.39715998,48.84882171,42.75378104,48.1880973,46.48250849
YALI0A01133g,14.43066377,27.46032046,23.6026341,31.90469126,87.12448992,70.07831146,31.46420403,20.32669044,20.08374564
YALI0A01155g,31.81840732,40.28146906,34.02853505,43.38915411,22.37242352,55.61747532,56.16445314,57.89746102,46.33488947
YALI0A01177r,0,0,0,0,0,0,0,0,0
YALI0A01221r,0,0,0,0,0,0,0,0,0
YALI0A01265g,0.237519275,0,0,0,0.159109042,0,0,0,0
YALI0A01287r,0,0,0,0,0,0,0,0,0
YALI0A01331g,41.51252084,34.79560881,40.15922958,25.51074856,64.0848645,59.24402131,81.52562498,82.52780634,57.32834158
YALI0A01353g,34.10891566,34.84670669,42.56179051,20.06756225,23.95183735,15.80690976,27.6344586,31.53103499,27.27174951
YALI0A01375g,50.26050732,45.61597944,54.06937559,51.11490032,38.80226897,35.69935355,55.25865801,75.71045708,91.99565524
RPR1_1,0,0,0,0,0,0,0,0,0
YALI0A01397g,50.03146442,52.30307055,56.75188084,35.19051616,24.00866578,17.0652265,28.27840281,38.43068583,44.165882
YALI0A01419g,256.0077756,246.9314555,200.5797162,282.7614328,512.8943608,613.2180822,189.5654852,122.5242816,95.7976917
YALI0A01441g,3.205105172,1.650905613,2.109344139,1.49221476,2.180578214,7.971918188,6.45102979,4.351179242,3.140177265
YALI0A01452g,440.9483082,397.8795318,502.888263,190.0078745,80.93707038,59.5096925,79.63449247,114.4565783,219.7755289
YALI0A01463g,19.36277133,21.20367817,16.90614444,17.28612993,9.694597663,10.8429223,16.77614203,18.13106576,17.22299262
YALI0A01485g,79.49494566,89.58367198,98.64870882,78.20845037,17.54594738,37.27332542,41.89550706,41.38224102,36.45678087
YALI0A01507g,0,0,0,0,0,0,0,0,0
YALI0A01540g,0,0,0,0,0,0,0,0,0
YALI0A01562g,0,0,0,0.026323606,0,0,0,0,0
YALI0A01584g,0,0,0,0,0,0,0,0,0
YALI0A01602g,0,0,0,0,0,0,0,0,0
YALI0A01626t,0,0,0,0,0,0,0,0,0
YALI0A01650g,8.552448311,7.831552984,5.061558061,5.601693191,2.819439343,2.17190549,4.414792607,6.872185697,24.46716656
YALI0A01672r,0,0,0,0,0,0,0,0,0
YALI0A01716g,0.090474899,0,0.09855451,0.449309788,0.530312866,0.563118927,0.356771394,0.333717838,0.480382942
YALI0A01738g,225.9940542,237.7906334,225.2081712,421.5319702,301.6130215,269.9637555,260.6557048,299.8835326,291.060464
YALI0A01760g,5.662415021,8.286031164,7.800808757,10.61402302,12.78321913,12.62719563,5.390631941,6.313545507,8.295244277
YALI0A01782g,30.53030482,36.02572487,29.8769804,45.45438939,16.93907348,27.52716148,40.00789578,51.23209452,52.85757343
YALI0A01804r,0,0,0,0,0,0,0,0,0
YALI0A01826g,21.04057149,29.73133823,26.07360693,15.14627685,24.40697719,17.54106286,22.13159289,24.87266802,31.27474015
YALI0A01848g,2.809946878,2.441139843,2.90391314,0.894522526,0.24132344,0.733812893,0.781318508,1.948885122,1.09301199
YALI0A01870g,0,0,0,0,0,0.155958942,0,0.084722939,0
YALI0A01892g,28.84812867,38.53232084,33.44952963,65.43800608,45.95074329,57.69991561,36.97725629,37.64046386,51.0727355
YALI0A01914r,0,0,0,0,0,0,0,0,0
YALI0A01958g,0,0,0,0,0,0,0,0,0.168352502
YALI0A01980g,1.187504846,1.631113124,2.636855357,0,0,0.051685815,0.40523456,0.252699634,1.524319997
YALI0A02002g,1.815203614,3.568837083,2.733333874,1.193099639,0.894092476,0.211457844,0.105263632,0.459488374,1.741310881
YALI0A02024g,5.161767297,5.45385718,8.044821434,3.056360214,0.731448518,1.415386175,0.743721942,1.04959943,2.740677218
YALI0A02046g,7.147795444,7.947864116,3.336904097,10.95693761,33.40714639,19.47903188,20.31264208,19.63903804,11.06464446
YALI0A02068g,35.1934758,37.66868254,37.47322497,37.46355022,69.6644979,47.59745262,53.76713846,55.61034384,44.97515995
YALI0A02090g,41.19614347,41.99044611,37.38244839,55.14068503,49.42085701,46.03343491,63.74394415,67.67842867,62.5514904
YALI0A02112g,110.9367028,137.0104911,106.3836806,157.0373653,71.13828905,78.86531765,105.4387906,84.16986804,88.03031129
YALI0A02134g,46.24703578,60.30777124,59.21705789,48.00909593,42.67430789,41.03214726,46.54901029,52.28775058,58.64888855
YALI0A02156g,32.68337202,41.76828258,37.36261216,84.05326699,96.68797319,35.2585359,33.72503225,41.39870902,52.03316702
YALI0A02178g,50.81838772,46.68352325,65.968069,90.70826022,86.32891533,67.24607739,70.18560804,85.53767231,83.37323275
YALI0A02200g,28.06277669,31.95657315,27.11917681,24.79732398,19.11371027,16.09141451,22.8739543,29.06758879,35.96009448
YALI0A02222g,72.21800445,96.13225745,79.56117957,79.23706737,54.39272892,67.20522078,94.45427633,99.93019935,103.1398715
YALI0A02244g,8.135490352,11.04225551,10.39149142,8.459783154,10.37396497,8.832601529,10.40184402,10.73885397,12.84289089
YALI0A02266g,12.55576779,13.90098543,13.38226243,7.424639077,28.39111047,10.99332504,15.63237032,16.41884142,18.28792476
YALI0A02288g,16.05046518,16.34514426,13.28396059,12.55198319,9.780940802,10.00279314,12.0502762,15.34485546,24.1972443
YALI0A02310g,273.1970599,298.6916266,241.3796273,220.8122555,204.1196932,201.4569034,263.330848,242.0123549,267.1321304
YALI0A02332g,29.53417014,32.47129016,33.53617684,34.27493963,21.90635602,15.26622487,14.79531694,16.08289359,23.46176896
YALI0A02354g,177.0888055,215.0902111,227.227279,149.5271204,47.63724714,78.87615601,104.23779,97.73775214,113.6193692
YALI0A02365g,0,0,0,0,0,0,0,0,0
YALI0A02409g,12.8553771,18.44019209,16.43172472,6.642460686,15.86663796,9.29202397,8.570901489,9.227629486,13.02003421
YALI0A02416g,10.58233199,18.21783079,2.30547158,20.49574737,6.734432259,0.239508375,1.669180449,0.78066137,0.642144544
YALI0A02423g,9.912758987,17.7597422,12.20642408,6.42104533,5.774211774,0.243863073,0,0,0.98072985
YALI0A02431g,17.79510558,18.26285104,15.87313918,17.25769619,13.77611609,20.82162325,29.59130665,33.68564869,47.42046454
YALI0A02453g,27.96065701,33.08582816,30.017663,46.32395689,35.63948699,20.18022857,22.35782986,23.91163389,24.67248946
YALI0A02475g,2.474637635,0,0.567500697,0,0.872477054,0,0.128398496,0,0
YALI0A02497g,340.9658042,447.0250086,337.5477695,275.744347,120.7471889,343.6702199,502.0846408,414.2030834,478.6861852
YALI0A02541g,27.79031774,31.53133176,29.25279414,26.87404608,38.99254933,25.67781892,28.10372766,28.35855145,22.21482153
YALI0A02563g,54.63425989,78.93218755,60.4797935,96.94519419,72.70836517,70.21822,60.10834835,70.29013748,77.59303809
YALI0A02585g,39.76225905,51.43323189,48.08361841,62.65697459,33.12022681,27.53292754,26.00690828,30.21304493,26.94370716
YALI0A02607g,3.536324276,6.678877408,5.597620508,3.910251964,18.18321496,2.21977925,2.750840506,4.619671324,5.113206908
YALI0A02629g,1.013009558,0,0.220694715,0,0.84824158,0,0.099865497,0.124549962,0.768378087
YALI0A02651g,248.3135528,221.9266874,218.8459449,247.9821741,342.2029023,718.9229962,297.789089,158.6235649,157.3008505
YALI0A02673g,108.8413041,60.97662122,60.2168058,71.3279288,160.1544854,29.99888102,24.39424404,27.92105908,28.27396742
YALI0A02695g,315.9420965,303.1182824,324.9814567,265.6517533,297.9089678,313.3676556,303.8599793,287.264907,209.9622676
YALI0A02717g,56.14985356,58.60714926,58.42064985,32.6486745,37.03051633,21.25038055,34.32252298,34.83701364,41.4102963
YALI0A02739r,0,0,0,0,0,0,0,0,0
YALI0A02783g,44.24825751,53.3011522,23.95641136,61.31206478,12.57094022,12.51830439,4.024579526,8.986279771,13.88459204
YALI0A02805r,0,0,0,0,0,0,0,0,0
