Gene,Class,Feature
RPR1_1,changed_regulation,
RPR1_2,changed_regulation,
SCR1,changed_regulation,
SNR14,changed_regulation,
SNR17_1,changed_regulation,
SNR17_2,changed_regulation,
SNR17_3,changed_regulation,
SNR20,changed_regulation,
SNR6,changed_regulation,
SNR7,changed_regulation,
SRN19_1,changed_regulation,
SRN19_2,changed_regulation,
YALI0A00110g,changed_regulation,
YALI0A00132g,changed_regulation,
YALI0A00154g,no_change,
YALI0A00176g,changed_regulation,
YALI0A00198g,changed_regulation,
YALI0A00212g,lowly_expressed_gene,
YALI0A00220r,changed_regulation,
YALI0A00264g,changed_regulation,
YALI0A00286g,changed_regulation,
YALI0A00297g,changed_regulation,
YALI0A00308t,changed_regulation,
YALI0A00330g,changed_regulation,
YALI0A00352g,changed_regulation,
YALI0A00369g,changed_regulation,
YALI0A00374g,changed_regulation,Mutated_Gene
YALI0A00396g,changed_regulation,
YALI0A00418g,changed_regulation,
YALI0A00440g,changed_regulation,
YALI0A00462r,changed_regulation,
YALI0A00506g,changed_regulation,
YALI0A00528g,changed_regulation,
YALI0A00550g,changed_regulation,
YALI0A00572g,changed_regulation,
YALI0A00594g,changed_regulation,
YALI0A00616g,lowly_expressed_gene,
YALI0A00638g,downregulated,
YALI0A00660g,changed_regulation,
YALI0A00682g,lowly_expressed_gene,
YALI0A00715r,changed_regulation,
YALI0A00759g,changed_regulation,
YALI0A00781g,changed_regulation,
YALI0A00792r,changed_regulation,
YALI0A00803g,changed_regulation,
YALI0A00825g,changed_regulation,
YALI0A00847g,changed_regulation,
YALI0A00869g,changed_regulation,
YALI0A00891g,changed_regulation,
YALI0A00913g,changed_regulation,
YALI0A00935g,changed_regulation,
YALI0A00957g,downregulated,
YALI0A00979g,changed_regulation,
YALI0A01001g,downregulated,
YALI0A01023g,no_change,
YALI0A01045g,changed_regulation,
YALI0A01067g,changed_regulation,
YALI0A01089g,downregulated,
YALI0A01111g,changed_regulation,
YALI0A01133g,no_change,
YALI0A01155g,changed_regulation,
YALI0A01177r,changed_regulation,
YALI0A01221r,changed_regulation,
YALI0A01265g,changed_regulation,
YALI0A01287r,changed_regulation,
YALI0A01331g,changed_regulation,
YALI0A01353g,changed_regulation,
YALI0A01375g,changed_regulation,
YALI0A01397g,lowly_expressed_gene,
YALI0A01419g,no_change,
YALI0A01441g,changed_regulation,
YALI0A01452g,lowly_expressed_gene,
YALI0A01463g,changed_regulation,
YALI0A01485g,changed_regulation,
YALI0A01507g,changed_regulation,
YALI0A01540g,changed_regulation,
YALI0A01562g,changed_regulation,
YALI0A01584g,changed_regulation,
YALI0A01602g,changed_regulation,
YALI0A01626t,changed_regulation,
YALI0A01650g,changed_regulation,
YALI0A01672r,changed_regulation,
YALI0A01716g,changed_regulation,
YALI0A01738g,changed_regulation,
YALI0A01760g,downregulated,
YALI0A01782g,changed_regulation,
YALI0A01804r,changed_regulation,
YALI0A01826g,changed_regulation,
YALI0A01848g,changed_regulation,
YALI0A01870g,changed_regulation,
YALI0A01892g,changed_regulation,
YALI0A01914r,changed_regulation,
YALI0A01958g,changed_regulation,
YALI0A01980g,changed_regulation,
YALI0A02002g,changed_regulation,
YALI0A02024g,changed_regulation,
YALI0A02046g,changed_regulation,
YALI0A02068g,changed_regulation,
YALI0A02090g,changed_regulation,
YALI0A02112g,changed_regulation,
YALI0A02134g,changed_regulation,
YALI0A02156g,downregulated,
YALI0A02178g,changed_regulation,
YALI0A02200g,changed_regulation,
YALI0A02222g,changed_regulation,
YALI0A02244g,changed_regulation,
YALI0A02266g,changed_regulation,
YALI0A02288g,changed_regulation,
YALI0A02310g,changed_regulation,
YALI0A02332g,changed_regulation,
YALI0A02354g,changed_regulation,
YALI0A02365g,changed_regulation,
YALI0A02409g,changed_regulation,
YALI0A02416g,downregulated,
YALI0A02423g,changed_regulation,
YALI0A02431g,changed_regulation,
YALI0A02453g,downregulated,
YALI0A02475g,changed_regulation,
YALI0A02497g,changed_regulation,Mutated_Gene
YALI0A02541g,changed_regulation,
YALI0A02563g,changed_regulation,
YALI0A02585g,changed_regulation,
YALI0A02607g,changed_regulation,
YALI0A02629g,changed_regulation,
YALI0A02651g,no_change,
YALI0A02673g,downregulated,
YALI0A02695g,changed_regulation,
YALI0A02717g,changed_regulation,
YALI0A02739r,changed_regulation,
YALI0A02783g,downregulated,
YALI0A02805r,changed_regulation,
YALI0A02849g,downregulated,
YALI0A02871g,downregulated,
YALI0A02893g,changed_regulation,
YALI0A02915g,no_change,
YALI0A02937g,changed_regulation,
YALI0A02959g,changed_regulation,
YALI0A02981g,changed_regulation,
YALI0A03003g,no_change,
YALI0A03025g,changed_regulation,
YALI0A03047r,changed_regulation,
YALI0A03069g,changed_regulation,
YALI0A03091g,changed_regulation,
YALI0A03113g,changed_regulation,
YALI0A03135g,changed_regulation,
YALI0A03157r,changed_regulation,
YALI0A03179g,changed_regulation,
YALI0A03201g,changed_regulation,
YALI0A03223g,changed_regulation,
YALI0A03245g,changed_regulation,
YALI0A03267r,changed_regulation,
YALI0A03311r,changed_regulation,
YALI0A03355r,changed_regulation,
YALI0A03399g,changed_regulation,
YALI0A03421g,changed_regulation,
YALI0A03443g,changed_regulation,
YALI0A03465r,changed_regulation,
YALI0A03509g,downregulated,
YALI0A03531g,changed_regulation,
YALI0A03553g,no_change,
YALI0A03575g,changed_regulation,
YALI0A03597g,changed_regulation,
YALI0A03641g,changed_regulation,
YALI0A03663g,changed_regulation,
YALI0A03685g,changed_regulation,
YALI0A03707r,changed_regulation,
YALI0A03751g,changed_regulation,
YALI0A03773g,downregulated,
YALI0A03795t,changed_regulation,
YALI0A03817g,downregulated,
YALI0A03839g,changed_regulation,
YALI0A03861g,changed_regulation,
YALI0A03883g,changed_regulation,Mutated_Gene
YALI0A03905g,changed_regulation,
YALI0A03916r,changed_regulation,
YALI0A03927g,lowly_expressed_gene,
YALI0A03949g,changed_regulation,
YALI0A03971g,changed_regulation,
YALI0A03993g,changed_regulation,
YALI0A04015r,changed_regulation,
YALI0A04059g,changed_regulation,
YALI0A04081r,changed_regulation,
YALI0A04125g,changed_regulation,
YALI0A04147r,changed_regulation,
