Gene,border,centrality_betweenness,centrality_degree,centrality_eigenvector_weighted,class,color,feature,shape,size
YALI0A19470g,2,0.00029592024506029305,0.006779661016949152,2.9391515804127045e-07,upregulated,red,,circle,30
YALI0B14102g,2,0.0030791213099760745,0.01694915254237288,1.0273641198926697e-06,upregulated,red,,circle,30
YALI0B15125g,2,0.0,0.005084745762711864,2.697969116701883e-07,highly_expressed,orange,,circle,30
YALI0E05599g,2,0.01531484885902681,0.01694915254237288,5.451570892309051e-07,upregulated,red,,circle,30
YALI0A00154g,2,0.0002693995787719714,0.00847457627118644,8.418005618053385e-09,upregulated,red,,circle,30
YALI0E05137g,2,0.018623451742003375,0.00847457627118644,8.226229854254226e-09,upregulated,red,,circle,30
YALI0E05247g,2,1.1510460130643722e-05,0.00847457627118644,8.014678619633583e-09,highly_expressed,orange,,circle,30
YALI0E05709g,2,0.01884253416648997,0.011864406779661017,1.014865895969263e-08,highly_expressed,orange,,circle,30
YALI0E19426g,2,0.003169322979400387,0.010169491525423728,8.899344171950866e-09,highly_expressed,orange,,circle,30
YALI0E22088g,2,0.0051901212846221624,0.011864406779661017,9.00540558359358e-09,upregulated,red,,circle,30
YALI0A00330g,2,0.0,0.0,5.616542264280526e-23,lowly_expressed,lightblue,,circle,30
YALI0A00396g,2,0.00012178415620043202,0.006779661016949152,6.486777045144786e-06,changed_regulation,green,,circle,30
YALI0A04697g,2,0.015206610980065486,0.01694915254237288,1.7705021784192303e-05,changed_regulation,green,,circle,30
YALI0D12969g,2,0.0,0.003389830508474576,2.7644794426845645e-06,changed_regulation,green,,circle,30
YALI0D13024g,2,0.005994780937881484,0.01694915254237288,1.6142670278543137e-05,changed_regulation,green,,circle,30
YALI0F30459g,2,0.0017875064814885004,0.01694915254237288,1.648708924315672e-05,upregulated,red,,circle,30
YALI0B05874g,2,0.00012566428899771828,0.015254237288135592,1.0624916344798023e-05,highly_expressed,orange,,circle,30
YALI0B10758g,2,4.604184052257489e-05,0.003389830508474576,2.0689330417824617e-14,lowly_expressed,lightblue,,circle,30
YALI0C12496g,2,1.9032313930302476e-05,0.011864406779661017,9.061451350854613e-06,changed_regulation,green,,circle,30
YALI0D12232g,2,4.094329696470642e-05,0.01694915254237288,1.1773495554300136e-05,highly_expressed,orange,,circle,30
YALI0D17710g,2,0.0001498004168430919,0.015254237288135592,1.0274751576480744e-05,highly_expressed,orange,,circle,30
YALI0E34067g,2,6.111506212222737e-06,0.010169491525423728,7.763026903281943e-06,highly_expressed,orange,,circle,30
YALI0F07128g,2,0.00018416736209029956,0.006779661016949152,2.6884839215187596e-06,highly_expressed,orange,,circle,30
YALI0F23177g,2,2.8776150326609305e-05,0.003389830508474576,1.4169554024199433e-14,lowly_expressed,lightblue,,circle,30
YALI0C16863g,15,0.0036680465979374837,0.005084745762711864,2.2236824528412e-06,upregulated,red,Transcription_Factor,roundrectangle,80
YALI0D22638g,2,0.009805635495033417,0.01694915254237288,2.0118685558094695e-05,upregulated,red,,circle,30
YALI0A01452g,2,0.020966131288556625,0.00847457627118644,8.295850117334146e-07,changed_regulation,green,,circle,30
YALI0D17666g,2,0.0014810752850623076,0.010169491525423728,1.4989222077770184e-06,changed_regulation,green,,circle,30
YALI0E02662g,2,0.0,0.003389830508474576,2.849469018998067e-07,lowly_expressed,lightblue,,circle,30
YALI0E05841g,2,0.022880017909425,0.015254237288135592,4.529668846691759e-06,changed_regulation,green,,circle,30
YALI0F08987g,2,0.006100543869241173,0.003389830508474576,1.9209849853479585e-08,changed_regulation,green,,circle,30
YALI0F19778g,2,0.008152136340989349,0.006779661016949152,2.4918412141629634e-06,changed_regulation,green,,circle,30
YALI0F23507g,2,0.0034466776130615134,0.011864406779661017,4.098380546295964e-06,changed_regulation,green,,circle,30
YALI0A00847g,2,0.0,0.001694915254237288,3.7210204703965297e-16,lowly_expressed,lightblue,,circle,30
YALI0C12595g,2,5.755230065321861e-06,0.003389830508474576,5.262317615102656e-16,lowly_expressed,lightblue,,circle,30
YALI0B02728g,2,0.0021735663698747355,0.013559322033898305,1.2607922066877295e-06,highly_expressed,orange,,circle,30
YALI0F05720g,2,0.016918339116858045,0.015254237288135592,1.308791919317771e-06,highly_expressed,orange,,circle,30
YALI0D25872g,2,0.0,0.0,5.616542264280526e-23,upregulated,red,,circle,30
YALI0A01067g,2,0.002480504158153722,0.005084745762711864,3.10468138504932e-10,changed_regulation,green,,circle,30
YALI0C06237g,2,0.004920721705850191,0.005084745762711864,2.436189068239411e-09,changed_regulation,green,,circle,30
YALI0D21010g,2,0.0,0.001694915254237288,3.8659161460597493e-11,changed_regulation,green,,circle,30
YALI0F25289g,2,0.0,0.001694915254237288,3.8659161460597493e-11,changed_regulation,green,,circle,30
YALI0A01089g,2,3.453138039193117e-05,0.003389830508474576,9.502613175294743e-14,lowly_expressed,lightblue,,circle,30
YALI0E31031g,2,0.0,0.001694915254237288,3.985802240053416e-14,lowly_expressed,lightblue,,circle,30
YALI0E35046g,2,8.057322091450605e-05,0.005084745762711864,1.8695034713161958e-13,lowly_expressed,lightblue,,circle,30
YALI0A09438g,2,0.0023415358003658366,0.03220338983050847,0.18765296855745758,lowly_expressed,lightblue,,circle,30
