Gene,MT_t1_rep1,MT_t1_rep2,MT_t2_rep1,MT_t2_rep2,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,WT_t2_rep1,WT_t2_rep2
YALI0D08272g,1788.061496,1925.602855,2484.817791,2543.055038,1681.889284,1537.31763,1550.994525,1630.929995,1719.564157
YalifMr30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nd6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMr31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cox1-i1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cox1-i2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cox1-i3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cox1-i4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cox1-i5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cox1-i7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cox1-i9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cox1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cox1-i6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atp8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atp6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cox3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cox3-i3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nd4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
