Gene,border,centrality_betweenness,centrality_degree,centrality_eigenvector_weighted,class,color,feature,shape,size
YALI0D08272g,2,0.005708215985376816,0.010558069381598794,2.3246639969039765e-08,upregulated,red,,circle,30
YALI0A19470g,2,0.002806373663063639,0.00904977375565611,2.507954796663759e-08,upregulated,red,,circle,30
YALI0B08118g,2,0.00685862571456222,0.012066365007541479,2.2949777107683708e-08,changed_regulation,green,,circle,30
YALI0B08272g,2,0.023227714987321138,0.011312217194570135,1.5923932423316632e-08,upregulated,red,,circle,30
YALI0B14102g,2,0.006477999580481432,0.011312217194570135,3.283388141513479e-08,upregulated,red,,circle,30
YALI0C23903g,2,0.002743423410427476,0.006787330316742082,1.6575610830208944e-08,upregulated,red,,circle,30
YALI0C24145g,2,0.008306375089248138,0.005279034690799397,5.101726989323145e-09,changed_regulation,green,,circle,30
YALI0D13442g,2,0.011194043995412297,0.008295625942684766,1.4474358277397445e-08,upregulated,red,,circle,30
YALI0D16423g,2,0.007553942170139063,0.012820512820512822,5.104654076808339e-08,upregulated,red,,circle,30
YALI0D26510g,2,0.0,0.0015082956259426848,2.7916822828238278e-09,upregulated,red,,circle,30
YALI0E05599g,2,0.041641916970087206,0.013574660633484163,2.3532909287960335e-08,upregulated,red,,circle,30
YALI0E33649g,2,0.007798732969382247,0.011312217194570135,3.1065173447046724e-08,upregulated,red,,circle,30
YALI0F22209g,2,0.023967843265344877,0.015082956259426848,6.192349177123663e-08,upregulated,red,,circle,30
YALI0F08569g,2,0.0,0.005279034690799397,1.899197355932258e-08,changed_regulation,green,,circle,30
YALI0A00154g,2,2.4392139265503023e-05,0.003770739064856712,1.3794625161125743e-10,changed_regulation,green,,circle,30
YALI0E05137g,2,0.006922093635483373,0.006033182503770739,1.6361585690399306e-10,changed_regulation,green,,circle,30
YALI0E05247g,2,0.00708093842116811,0.010558069381598794,7.264304448042974e-10,changed_regulation,green,,circle,30
YALI0E05709g,2,0.00424475262795878,0.00980392156862745,5.324981178958694e-10,changed_regulation,green,,circle,30
YALI0E19426g,2,0.0011086389336256092,0.006033182503770739,2.7194733122264757e-10,changed_regulation,green,,circle,30
YALI0E22088g,2,0.007122257675969273,0.006033182503770739,1.7562021919850537e-10,changed_regulation,green,,circle,30
YALI0F06776g,2,0.0,0.0,7.010099228020875e-33,upregulated,red,,circle,30
YALI0D13024g,2,8.343078344845881e-05,0.003770739064856712,6.876533859713292e-12,changed_regulation,green,,circle,30
YALI0F30459g,2,0.01264366567605034,0.007541478129713424,1.535389685771406e-11,changed_regulation,green,,circle,30
YALI0A00506g,2,0.0035938692549007415,0.01809954751131222,1.813321567141729e-05,highly_expressed,orange,,circle,30
YALI0B03476g,2,0.002386172027353328,0.016591251885369532,1.717261269709645e-05,highly_expressed,orange,,circle,30
YALI0B05874g,2,0.0016017594195306046,0.0196078431372549,2.359126369125574e-05,highly_expressed,orange,,circle,30
YALI0B10758g,2,0.0010457980634129365,0.008295625942684766,4.6497008306155985e-06,highly_expressed,orange,,circle,30
YALI0B12738g,2,0.000534918053850209,0.012820512820512822,1.4201540405278904e-05,highly_expressed,orange,,circle,30
YALI0B14201g,2,0.015166450032704074,0.013574660633484163,1.3479428812071391e-05,highly_expressed,orange,,circle,30
YALI0B16324g,2,0.0011057549138708545,0.0196078431372549,2.1833300347730616e-05,highly_expressed,orange,,circle,30
YALI0B17006g,2,0.007466109831127178,0.00904977375565611,6.181810846802152e-06,highly_expressed,orange,,circle,30
YALI0B19206g,2,0.0008529585651994936,0.01583710407239819,1.896857906610086e-05,highly_expressed,orange,,circle,30
YALI0C06460g,2,0.002017933973401145,0.010558069381598794,5.852450691333406e-06,highly_expressed,orange,,circle,30
YALI0C08096g,2,0.003360359447029477,0.024132730015082957,2.6859494601774265e-05,highly_expressed,orange,,circle,30
YALI0C12496g,2,0.00021114245229544423,0.014328808446455506,1.8338644807572906e-05,changed_regulation,green,,circle,30
YALI0D07810g,2,0.0024237884661949846,0.015082956259426848,1.711650962862983e-05,highly_expressed,orange,,circle,30
YALI0D12232g,2,0.00025121840646343435,0.01809954751131222,2.2581803174726356e-05,highly_expressed,orange,,circle,30
YALI0D13112g,2,0.036196027547519175,0.012066365007541479,5.042525039605816e-06,highly_expressed,orange,,circle,30
YALI0D17710g,2,0.00041754072654843436,0.01583710407239819,1.8922403485499257e-05,highly_expressed,orange,,circle,30
YALI0E07491g,2,0.024624024760516505,0.020361990950226245,2.2488029787843645e-05,highly_expressed,orange,,circle,30
YALI0E20449g,15,0.004864492674315019,0.011312217194570135,7.321828412484873e-06,highly_expressed,orange,Transcription_Factor,roundrectangle,80
YALI0E34067g,2,8.764216685013471e-05,0.013574660633484163,1.7013350468942622e-05,highly_expressed,orange,,circle,30
YALI0E34375g,2,0.0009103608417886295,0.012820512820512822,1.3672660176495306e-05,highly_expressed,orange,,circle,30
YALI0F07128g,2,0.00080815029079349,0.004524886877828055,4.920521443362328e-06,highly_expressed,orange,,circle,30
YALI0F07601g,2,1.2904798492764094e-05,0.006787330316742082,7.531795974721589e-06,highly_expressed,orange,,circle,30
YALI0F13343g,2,0.0010431562851621044,0.014328808446455506,1.7356849745616632e-05,highly_expressed,orange,,circle,30
YALI0F23177g,2,8.29947985579187e-05,0.008295625942684766,5.34771894036961e-06,highly_expressed,orange,,circle,30
YALI0F27027g,2,0.001796881398079319,0.01583710407239819,1.5421520787715792e-05,changed_regulation,green,,circle,30
YALI0A00682g,2,0.0008334866551477984,0.005279034690799397,1.0747108162192099e-10,changed_regulation,green,,circle,30
YALI0A01452g,2,0.01671486880026448,0.007541478129713424,1.0482158755937556e-10,changed_regulation,green,,circle,30
YALI0D15510g,2,0.00765330211343026,0.006787330316742082,3.473190981848693e-10,changed_regulation,green,,circle,30
YALI0D17666g,2,0.005318989459976408,0.007541478129713424,3.6382581153770914e-10,changed_regulation,green,,circle,30
YALI0E02662g,2,0.0028132078887806197,0.005279034690799397,8.961724218501729e-11,changed_regulation,green,,circle,30
YALI0E05841g,2,0.018390741582501747,0.006787330316742082,3.2672029211941326e-10,changed_regulation,green,,circle,30
YALI0E25047g,2,0.013181914812944742,0.00980392156862745,2.9634666886632205e-10,changed_regulation,green,,circle,30
YALI0F23507g,2,0.010567304660524888,0.006787330316742082,3.377579025863813e-10,changed_regulation,green,,circle,30
YALI0E12705g,2,0.0,0.0,7.010099228020875e-33,changed_regulation,green,,circle,30
YALI0B02728g,2,0.00348625778598464,0.014328808446455506,5.970507787598434e-08,upregulated,red,,circle,30
YALI0B10516g,2,0.005197901159631556,0.01809954751131222,7.733644965834728e-08,upregulated,red,,circle,30
YALI0C11946g,2,7.0208344119277266e-06,0.0030165912518853697,1.3419464668496375e-08,upregulated,red,,circle,30
