Gene,border,centrality_betweenness,centrality_degree,centrality_eigenvector_weighted,class,color,feature,shape,size
YALI0B03982g,2,0.006547597857727792,0.02478448275862069,0.012218513455886516,downregulated,darkblue,,circle,30
YALI0C00605g,2,7.817772338900645e-06,0.003232758620689655,0.00014138012574852523,lowly_expressed,lightblue,,circle,30
YALI0D17160g,2,0.016308218638325125,0.02586206896551724,0.005915333278673327,downregulated,darkblue,,circle,30
YALI0F24717g,2,0.0,0.0021551724137931034,0.00015225464641254905,lowly_expressed,lightblue,,circle,30
YALI0B03080g,2,0.0026478525064019907,0.010775862068965518,0.0004986089975962401,lowly_expressed,lightblue,,circle,30
YALI0F17182g,2,0.001878510582896254,0.0021551724137931034,0.00014049661460404584,downregulated,darkblue,,circle,30
YALI0F15587g,2,0.004251401553906746,0.034482758620689655,0.0009114112991184711,lowly_expressed,lightblue,,circle,30
YALI0D22891g,2,0.017736335078769903,0.032327586206896554,0.002351491215608117,lowly_expressed,lightblue,,circle,30
YALI0E02684g,2,0.0020375613756051926,0.008620689655172414,0.0004064560693971844,downregulated,darkblue,,circle,30
YALI0B04312g,2,0.019330977546601884,0.028017241379310345,0.003956523070073837,downregulated,darkblue,,circle,30
YALI0A09768g,2,0.01343698094342452,0.04310344827586207,0.0031945673797906743,lowly_expressed,lightblue,,circle,30
YALI0E24013g,2,0.008837270466802445,0.018318965517241378,0.0031613204881794305,downregulated,darkblue,,circle,30
YALI0B02728g,2,0.0005843806901272763,0.02586206896551724,0.0005118960707567447,downregulated,darkblue,,circle,30
YALI0D01089g,2,0.00043535746761029113,0.0075431034482758615,0.0007701158091258287,downregulated,darkblue,,circle,30
YALI0B22506g,2,0.0,0.0021551724137931034,6.052325955263148e-05,lowly_expressed,lightblue,,circle,30
YALI0F02343g,2,0.0011121215673193675,0.020474137931034482,0.002638389620594173,downregulated,darkblue,,circle,30
YALI0A21417g,2,0.01224462225439719,0.04202586206896552,0.0028399661648591907,lowly_expressed,lightblue,,circle,30
YALI0B08921g,2,0.006055960683881325,0.01939655172413793,0.005622872378937281,downregulated,darkblue,,circle,30
YALI0F01100g,2,0.08641725878182388,0.06034482758620689,0.03262888859739496,downregulated,darkblue,,circle,30
YALI0F27071g,2,0.0003649845209855469,0.030172413793103446,0.000956610889809922,downregulated,darkblue,,circle,30
YALI0F30613g,2,0.006678380391191511,0.03771551724137931,0.0018566780275322626,lowly_expressed,lightblue,,circle,30
YALI0B07007g,2,0.0058560710666422065,0.029094827586206896,0.0017038362090441765,lowly_expressed,lightblue,,circle,30
YALI0E06237g,2,0.0018634142041787957,0.040948275862068964,0.0008276557768778069,lowly_expressed,lightblue,,circle,30
YALI0A12045g,2,0.0007488875557285992,0.028017241379310345,0.0008447547866991203,lowly_expressed,lightblue,,circle,30
YALI0C15554g,2,0.0123335826001833,0.04525862068965517,0.0023987494775226338,downregulated,darkblue,,circle,30
