Gene,border,centrality_betweenness,centrality_degree,centrality_eigenvector_weighted,class,color,feature,shape,size
YALI0C06369g,2,0.009005400019859779,0.007751937984496124,0.0006252281926552974,control_overexpressed,orange,,circle,30
YALI0F11759g,2,0.0,0.0011074197120708748,1.699258663407154e-05,control_overexpressed,orange,,circle,30
YALI0B03982g,2,0.013831362855700533,0.022148394241417495,0.016358918005209992,control_overexpressed,orange,,circle,30
YALI0C00605g,2,0.00018048832160685012,0.0022148394241417496,2.0927799395632454e-05,control_upregulated,red,,circle,30
YALI0A15972g,2,0.0,0.0011074197120708748,1.699258663407154e-05,control_overexpressed,orange,,circle,30
YALI0F02629g,2,0.0019780971193381187,0.0033222591362126247,2.1702186325195426e-05,control_upregulated,red,,circle,30
YALI0D17160g,2,0.009397775076329948,0.017718715393133997,0.00612660777065471,control_overexpressed,orange,,circle,30
YALI0B03080g,2,0.0061000201468991,0.011074197120708748,0.0004428028648370096,control_upregulated,red,,circle,30
YALI0E26004g,2,0.011006466652480656,0.018826135105204873,6.638952919324821e-05,control_upregulated,red,,circle,30
YALI0F15587g,2,0.009918829033753036,0.021040974529346623,0.00022036434456485887,changed_regulation,green,,circle,30
YALI0F07711g,2,0.005873784458403435,0.007751937984496124,0.00014479759878528964,control_upregulated,red,,circle,30
YALI0B04312g,2,0.028669233838188233,0.022148394241417495,0.0035934377384780163,control_upregulated,red,,circle,30
YALI0A09768g,2,0.006804379839927887,0.018826135105204873,0.0010690219823959702,control_overexpressed,orange,,circle,30
YALI0B02728g,2,0.0035370412052775813,0.022148394241417495,7.776661294200144e-05,changed_regulation,green,,circle,30
YALI0F02343g,2,0.0011749884403961211,0.011074197120708748,0.0009084731723604679,control_upregulated,red,,circle,30
YALI0F01100g,2,0.037305918768537144,0.028792912513842746,0.015328417455668288,control_overexpressed,orange,,circle,30
YALI0F27071g,2,0.0021356544214470316,0.019933554817275746,0.00012689745312668152,changed_regulation,green,,circle,30
YALI0B07007g,2,0.012131126577456195,0.018826135105204873,0.0006759747643805466,control_upregulated,red,,circle,30
YALI0A12045g,2,0.002531629685985502,0.018826135105204873,0.00015289078242298806,control_upregulated,red,,circle,30
YALI0C15554g,2,0.018681014156295857,0.023255813953488372,0.0006729766552317705,control_upregulated,red,,circle,30
YALI0E02266g,2,0.01056799120600727,0.019933554817275746,0.0001369820503084142,control_upregulated,red,,circle,30
YALI0F09185g,2,5.797358574706303e-05,0.0022148394241417496,2.3314506229508786e-07,control_upregulated,red,,circle,30
YALI0D08184g,2,8.613968902060931e-05,0.005537098560354374,0.009185988842796108,changed_regulation,green,,circle,30
YALI0A16797g,2,0.0053791880555521705,0.02547065337763012,0.03743320674038644,changed_regulation,green,,circle,30
YALI0F23573g,2,1.5461394183745794e-05,0.004429678848283499,0.00488836863723984,changed_regulation,green,,circle,30
YALI0C19965g,2,0.0023446166921929665,0.03433001107419712,0.07884695379507596,control_overexpressed,orange,,circle,30
YALI0F13805g,2,0.039131060968771086,0.07862679955703211,0.14422674236348249,changed_regulation,green,,circle,30
YALI0F01034g,2,0.0019128935282543065,0.03211517165005537,0.07262518239511175,changed_regulation,green,,circle,30
YALI0F13541g,2,0.002174992256657683,0.006644518272425249,2.2929766141341996e-06,changed_regulation,green,,circle,30
YALI0D07634g,2,0.0005151493739600779,0.008859357696566999,2.4096474119784348e-05,changed_regulation,green,,circle,30
YALI0F08195g,2,7.002724330140954e-05,0.0022148394241417496,1.5706724416392644e-05,changed_regulation,green,,circle,30
YALI0E28963g,2,0.0021822395732447476,0.007751937984496124,3.987648817971216e-06,control_upregulated,red,,circle,30
YALI0D11572g,2,0.0021267879923202353,0.009966777408637873,4.279884490627851e-05,control_upregulated,red,,circle,30
YALI0E28721g,2,0.025337923107492315,0.023255813953488372,1.222989065005743e-05,changed_regulation,green,,circle,30
YALI0F15697g,2,0.004844042395984357,0.012181616832779622,1.1718335586138599e-05,control_upregulated,red,,circle,30
YALI0F31548g,2,0.004102880848862814,0.019933554817275746,0.00011945297002149158,control_upregulated,red,,circle,30
YALI0D07744g,15,0.0,0.0022148394241417496,2.1225242516416008e-06,control_upregulated,red,Transcription_Factor,roundrectangle,80
YALI0D12400g,2,0.003035842941332368,0.005537098560354374,4.400759212070474e-05,control_upregulated,red,,circle,30
YALI0C21789g,2,0.0,0.0,3.750573599408775e-49,case_upregulated,darkblue,,circle,30
YALI0A09812g,2,0.0018808946772645016,0.0033222591362126247,0.0004861669867284695,control_upregulated,red,,circle,30
YALI0B15125g,2,0.000806653939577538,0.0022148394241417496,4.157955664908864e-06,control_upregulated,red,,circle,30
YALI0C06820g,2,0.008599404667408862,0.018826135105204873,0.002047153622498327,control_overexpressed,orange,,circle,30
YALI0D20614g,2,0.006282086744528229,0.012181616832779622,0.00015271210422907505,control_upregulated,red,,circle,30
YALI0E11847g,2,0.02797635955448391,0.024363233665559245,0.01385017176314294,control_overexpressed,orange,,circle,30
YALI0E30602g,2,0.0201890443209824,0.014396456256921373,0.0006472883792708699,control_overexpressed,orange,,circle,30
YALI0E23584g,2,0.012819404495366346,0.019933554817275746,0.0020632846779173437,control_overexpressed,orange,,circle,30
YALI0E19701g,2,0.004446397649139063,0.014396456256921373,0.0002572677094154092,control_upregulated,red,,circle,30
YALI0D07304g,2,0.005514013312413799,0.011074197120708748,0.00017720551144282586,control_upregulated,red,,circle,30
YALI0F25883g,2,0.0,0.0,3.750573599408775e-49,control_upregulated,red,,circle,30
YALI0F05544g,2,0.0,0.0,3.750573599408775e-49,control_upregulated,red,,circle,30
YALI0B14399g,2,0.0037593338784490233,0.0033222591362126247,9.037404345840517e-06,changed_regulation,green,,circle,30
YALI0C22394g,2,0.0,0.0011074197120708748,1.9280191928786428e-29,case_upregulated,darkblue,,circle,30
YALI0D11506g,2,0.0,0.0,3.750573599408775e-49,case_upregulated,darkblue,,circle,30
Q12724,2,0.03073760614782063,0.035437430786267994,0.037743417834787185,control_overexpressed,orange,,circle,30
YALI0E03388g,2,0.016747157173237753,0.03875968992248062,0.039475707879694816,control_overexpressed,orange,,circle,30
YALI0C05148g,2,0.0,0.0011074197120708748,0.00044461436235112385,control_overexpressed,orange,,circle,30
YALI0E16060g,2,0.0020186956524369543,0.013289036544850499,0.007972897619209296,control_overexpressed,orange,,circle,30
YALI0E15125g,2,0.000857958360637293,0.021040974529346623,0.044153447580460636,control_overexpressed,orange,,circle,30
YALI0D07436g,2,0.004668974131714113,0.009966777408637873,0.0067896223545878065,control_overexpressed,orange,,circle,30
YALI0C06798g,2,0.004660510774731926,0.01661129568106312,0.005107603213954823,control_overexpressed,orange,,circle,30
YALI0D14630g,2,0.01130595615091234,0.06201550387596899,0.1429983070216744,control_overexpressed,orange,,circle,30
YALI0F12991g,2,0.004871828700160361,0.014396456256921373,0.019345102305015405,control_overexpressed,orange,,circle,30
YALI0F24497g,2,0.001750928276512465,0.004429678848283499,0.0016548146749548408,control_upregulated,red,,circle,30
YALI0B14971g,2,0.0028636654051670185,0.03433001107419712,0.0694369496613649,control_overexpressed,orange,,circle,30
YALI0F18898g,2,0.023828767346771047,0.06423034330011074,0.10447090957088491,control_overexpressed,orange,,circle,30
YALI0C00649g,2,0.001199222288003077,0.017718715393133997,0.021872343198309982,control_overexpressed,orange,,circle,30
YALI0B14289g,2,0.002051805115950817,0.011074197120708748,0.006641684611872796,control_upregulated,red,,circle,30
YALI0A16214g,2,0.004365042352898352,0.021040974529346623,0.025881703502663476,control_upregulated,red,,circle,30
YALI0E10747g,2,0.0,0.0022148394241417496,0.003284046440900549,control_overexpressed,orange,,circle,30
YALI0F05698g,2,0.01844716331100785,0.024363233665559245,0.015113681660185143,control_overexpressed,orange,,circle,30
YALI0B00198g,2,0.043785108047643496,0.04872646733111849,0.032514817899972265,control_overexpressed,orange,,circle,30
