Gene,MT_t1_rep1,MT_t1_rep2,MT_t1_rep3,MT_t2_rep1,MT_t2_rep2,MT_t2_rep3,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,WT_t2_rep1,WT_t2_rep2,WT_t2_rep3
YALI0C06369g,40.57,41.11,40.56,40.79,40.53,40.66,41.32,41.48,41.37,41.44,41.78,41.78
YALI0F16819g,40.58,41.04,40.4,40.51,40.39,40.4,40.73,40.5,40.52,40.75,40.9,40.88
YALI0F25289g,39.01,39.4,38.93,38.99,38.86,38.91,38.87,38.75,38.75,39.19,39.36,39.33
YALI0D08184g,35.86,36.88,35.86,37.35,37.53,37.59,37.69,37.16,37.17,37.39,37.26,37.23
YALI0E26004g,38.91,39.35,39.07,38.55,38.63,38.46,38.96,38.69,38.85,38.96,39.18,39.17
YALI0C17347g,38.25,38.2,38.07,37.91,37.83,37.96,38.51,38.12,38.22,38.61,38.86,38.78
YALI0C09141g,39.31,39.75,39.57,39.92,39.72,39.74,39.16,39.21,39.25,39.12,38.71,38.83
YALI0F03179g,38.97,39.27,38.84,38.78,38.91,38.89,39.18,39.39,39.2,39.25,39.66,39.5
YALI0F11759g,37.58,38.19,37.69,38.01,37.72,37.85,38.63,38.57,38.71,38.72,38.73,38.65
YALI0E12683g,38.88,39.2,38.99,38.54,38.71,38.8,38.69,39.14,38.61,39.03,39.16,39.13
YALI0B03982g,38.74,39.16,38.88,39.31,38.73,39.05,39.75,39.67,39.73,40.02,40.02,40.0
YALI0B22066g,39.16,39.41,39.03,39.05,38.84,38.94,38.09,38.54,38.5,38.45,39.03,38.82
YALI0D16753g,40.15,40.49,40.12,40.17,39.69,40.14,40.4,40.1,40.07,40.7,40.56,40.69
YALI0D22352g,37.63,37.72,37.26,37.22,37.16,37.31,38.04,37.65,37.69,38.09,37.95,37.91
YALI0F04095g,38.15,38.57,38.06,38.1,37.83,37.93,38.23,38.27,38.02,38.24,38.56,38.54
YALI0F15587g,40.65,41.03,40.68,40.38,40.3,40.27,40.49,40.24,40.24,40.76,40.7,40.79
YALI0E14190g,39.31,39.68,39.34,39.1,39.08,39.1,39.47,39.54,39.4,39.53,39.59,39.58
YALI0F09185g,38.08,38.34,38.21,38.11,37.73,37.99,37.91,38.28,37.99,38.51,38.91,38.81
YALI0A00132g,38.45,38.6,38.2,38.31,38.26,38.28,38.35,38.57,38.3,38.71,39.05,38.88
YALI0F09669g,36.8,37.04,37.22,36.13,36.43,36.22,36.91,36.57,36.65,36.81,37.02,37.09
YALI0E35046g,28.63,28.29,27.38,28.62,26.72,29.94,31.35,31.55,31.65,31.38,31.4,31.25
YALI0D22891g,38.68,38.82,38.58,38.33,38.09,38.33,39.1,38.74,38.89,38.89,39.15,39.19
YALI0F25531g,37.42,37.65,37.36,37.61,37.32,37.62,37.86,37.34,37.65,38.03,37.71,37.73
YALI0E06479g,39.04,39.52,38.96,38.8,38.56,38.51,39.31,39.17,39.13,39.24,39.5,39.5
YALI0F09790g,37.31,37.91,37.25,37.18,37.17,37.23,37.05,37.01,36.97,37.0,37.23,37.2
YALI0A13387g,38.36,38.6,38.24,37.74,37.68,37.68,37.95,37.77,37.99,38.38,38.42,38.56
YALI0D09361g,38.22,38.58,38.42,38.47,38.25,38.28,38.16,38.06,37.97,38.43,38.26,38.4
YALI0F07711g,38.55,38.92,38.39,38.21,38.35,38.22,38.65,38.42,38.51,38.85,39.02,39.1
YALI0C00605g,36.87,37.23,36.51,36.37,36.63,36.52,37.14,36.93,37.05,37.47,37.7,37.68
YALI0E02684g,38.81,39.08,38.8,38.84,38.58,38.82,38.93,38.81,38.84,39.17,39.25,39.19
YALI0B13970g,38.42,38.48,38.34,37.95,37.77,37.65,37.62,37.53,37.62,37.85,38.3,38.19
YALI0B15059g,37.79,37.92,37.6,37.94,37.41,37.65,37.55,37.56,37.45,37.45,38.11,38.04
YALI0B04312g,38.29,38.44,38.62,38.17,37.86,37.88,39.39,39.4,39.32,39.48,39.79,39.81
YALI0A00352g,38.31,38.49,38.21,37.96,37.69,37.71,37.85,38.1,38.09,37.85,38.34,38.33
YALI0F17820g,37.51,37.42,37.85,36.77,37.41,36.6,38.87,39.15,38.81,38.11,39.45,39.25
YALI0F08745g,36.98,37.66,37.12,37.0,36.9,37.1,36.9,36.88,36.73,36.77,37.04,37.0
YALI0E18986g,36.98,37.66,37.12,37.0,36.9,37.1,36.9,36.88,36.73,36.77,37.04,37.0
YALI0F05214g,37.35,37.9,38.03,37.78,37.86,37.62,37.63,37.18,37.53,37.76,37.78,37.84
YALI0C07953g,38.08,38.31,37.97,37.63,37.63,37.63,37.24,38.53,37.27,37.51,37.47,37.31
YALI0A09768g,37.89,38.16,37.76,37.75,37.56,37.85,38.98,38.84,38.92,38.86,38.99,39.06
YALI0C10230g,39.66,39.89,39.66,39.02,38.71,38.74,39.34,39.27,38.98,39.13,39.26,39.26
YALI0F09229g,38.51,38.83,38.4,38.66,38.54,38.55,39.05,39.21,38.96,39.18,39.61,39.46
YALI0D20768g,38.42,38.87,38.36,38.61,38.55,38.54,37.91,37.87,38.0,38.17,38.19,38.51
YALI0F13541g,38.33,38.71,38.41,37.9,37.77,37.79,37.92,38.18,37.98,38.17,38.29,38.31
YALI0E13255g,37.9,38.15,37.95,37.75,37.65,37.62,37.8,37.85,37.72,37.81,38.09,38.03
