Gene,Feature
YALI0A10637g,Transcription_Factor
YALI0A11517g,Transcription_Factor
YALI0A12925g,Transcription_Factor
YALI0A16841g,Transcription_Factor
YALI0A18469g,Transcription_Factor
YALI0A19778g,Transcription_Factor
YALI0A21241g,Transcription_Factor
YALI0A21329g,Transcription_Factor
YALI0B00660g,Transcription_Factor
YALI0B04510g,Transcription_Factor
YALI0B05038g,Transcription_Factor
YALI0B05478g,Transcription_Factor
YALI0B06853g,Transcription_Factor
YALI0B08206g,Transcription_Factor
YALI0B09713g,Transcription_Factor
YALI0B10692g,Transcription_Factor
YALI0B12166g,Transcription_Factor
YALI0B12716g,Transcription_Factor
YALI0B13200g,Transcription_Factor
YALI0B13354g,Transcription_Factor
YALI0B13640g,Transcription_Factor
YALI0B13992g,Transcription_Factor
YALI0B14773g,Transcription_Factor
YALI0B15246g,Transcription_Factor
YALI0B15312g,Transcription_Factor
YALI0B15818g,Transcription_Factor
YALI0B15862g,Transcription_Factor
YALI0B19602g,Transcription_Factor
YALI0B20944g,Transcription_Factor
YALI0B21582g,Transcription_Factor
YALI0B22176g,Transcription_Factor
YALI0C01375g,Transcription_Factor
YALI0C01463g,Transcription_Factor
YALI0C02387g,Transcription_Factor
YALI0C03564g,Transcription_Factor
YALI0C05995g,Transcription_Factor
YALI0C06842g,Transcription_Factor
YALI0C07436g,Transcription_Factor
YALI0C07458g,Transcription_Factor
YALI0C07821g,Transcription_Factor
YALI0C09009g,Transcription_Factor
YALI0C09185g,Transcription_Factor
YALI0C09482g,Transcription_Factor
YALI0C10010g,Transcription_Factor
YALI0C11858g,Transcription_Factor
YALI0C12364g,Transcription_Factor
YALI0C12639g,Transcription_Factor
YALI0C13178g,Transcription_Factor
YALI0C13750g,Transcription_Factor
YALI0C15202g,Transcription_Factor
YALI0C16863g,Transcription_Factor
YALI0C18645g,Transcription_Factor
YALI0C18667g,Transcription_Factor
YALI0C19063g,Transcription_Factor
YALI0C19151g,Transcription_Factor
YALI0C22682g,Transcription_Factor
YALI0C22990g,Transcription_Factor
YALI0C23056g,Transcription_Factor
YALI0D01353g,Transcription_Factor
YALI0D01419g,Transcription_Factor
YALI0D01463g,Transcription_Factor
YALI0D01573g,Transcription_Factor
YALI0D02475g,Transcription_Factor
YALI0D02783g,Transcription_Factor
YALI0D04466g,Transcription_Factor
YALI0D04785g,Transcription_Factor
YALI0D05005g,Transcription_Factor
YALI0D05041g,Transcription_Factor
YALI0D06193g,Transcription_Factor
YALI0D06952g,Transcription_Factor
YALI0D07744g,Transcription_Factor
YALI0D09647g,Transcription_Factor
YALI0D09757g,Transcription_Factor
YALI0D10285g,Transcription_Factor
YALI0D10681g,Transcription_Factor
YALI0D12628g,Transcription_Factor
YALI0D13904g,Transcription_Factor
YALI0D14520g,Transcription_Factor
YALI0D14872g,Transcription_Factor
YALI0D15334g,Transcription_Factor
YALI0D17988g,Transcription_Factor
YALI0D18678g,Transcription_Factor
YALI0D20086g,Transcription_Factor
YALI0D20394g,Transcription_Factor
YALI0D20460g,Transcription_Factor
YALI0D20482g,Transcription_Factor
YALI0D21230g,Transcription_Factor
YALI0D23045g,Transcription_Factor
YALI0D23749g,Transcription_Factor
YALI0D24167g,Transcription_Factor
YALI0D24860g,Transcription_Factor
YALI0E01606g,Transcription_Factor
YALI0E02442g,Transcription_Factor
YALI0E03410g,Transcription_Factor
YALI0E05555g,Transcription_Factor
YALI0E07942g,Transcription_Factor
YALI0E09372g,Transcription_Factor
YALI0E10087g,Transcription_Factor
YALI0E10681g,Transcription_Factor
YALI0E11693g,Transcription_Factor
YALI0E13596g,Transcription_Factor
YALI0E13948g,Transcription_Factor
YALI0E15510g,Transcription_Factor
