Gene,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,MT_t1_rep1,MT_t1_rep2,MT_t1_rep3,WT_t2_rep1,WT_t2_rep2,WT_t2_rep3,MT_t2_rep1,MT_t2_rep2,MT_t2_rep3
YALI0C06369g,40.57,41.11,40.56,40.92,40.93,40.89,40.79,40.53,40.66,41.12,41.1,41.02
YALI0F16819g,40.58,41.04,40.4,40.2,40.07,40.15,40.51,40.39,40.4,40.36,40.26,40.23
YALI0F25289g,39.01,39.4,38.93,39.22,39.33,39.26,38.99,38.86,38.91,39.5,39.5,39.43
YALI0D08184g,35.86,36.88,35.86,37.26,37.5,37.06,37.35,37.53,37.59,37.75,37.73,37.78
YALI0E26004g,38.91,39.35,39.07,38.42,38.32,38.53,38.55,38.63,38.46,38.5,38.38,38.24
YALI0C17347g,38.25,38.2,38.07,38.36,38.1,38.61,37.91,37.83,37.96,38.4,38.28,38.27
YALI0C09141g,39.31,39.75,39.57,39.7,39.73,39.41,39.92,39.72,39.74,40.5,40.89,40.41
YALI0F03179g,38.97,39.27,38.84,39.62,39.7,39.66,38.78,38.91,38.89,39.58,39.64,39.44
YALI0F11759g,37.58,38.19,37.69,38.33,38.52,38.42,38.01,37.72,37.85,38.58,38.46,38.51
YALI0E12683g,38.88,39.2,38.99,40.07,39.93,39.96,38.54,38.71,38.8,40.37,40.2,40.25
YALI0B03982g,38.74,39.16,38.88,39.57,39.64,39.8,39.31,38.73,39.05,39.85,39.65,39.69
YALI0B22066g,39.16,39.41,39.03,39.72,39.51,39.31,39.05,38.84,38.94,39.86,39.86,39.76
YALI0D16753g,40.15,40.49,40.12,39.38,39.49,39.57,40.17,39.69,40.14,39.59,39.56,39.34
YALI0D22352g,37.63,37.72,37.26,37.24,36.36,37.4,37.22,37.16,37.31,37.36,37.25,37.31
YALI0F04095g,38.15,38.57,38.06,38.38,38.56,38.54,38.1,37.83,37.93,38.56,38.52,38.48
YALI0F15587g,40.65,41.03,40.68,39.4,39.31,39.54,40.38,40.3,40.27,39.5,39.62,39.56
YALI0E14190g,39.31,39.68,39.34,38.69,38.78,38.85,39.1,39.08,39.1,38.94,38.75,38.86
YALI0F09185g,38.08,38.34,38.21,38.62,38.57,38.6,38.11,37.73,37.99,38.89,38.72,38.74
YALI0A00132g,38.45,38.6,38.2,38.93,38.99,39.01,38.31,38.26,38.28,39.19,39.19,39.28
YALI0F09669g,36.8,37.04,37.22,36.57,36.53,36.51,36.13,36.43,36.22,36.5,36.49,36.57
YALI0E35046g,28.63,28.29,27.38,32.08,31.17,31.17,28.62,26.72,29.94,31.6,31.33,31.97
YALI0D22891g,38.68,38.82,38.58,38.23,38.14,38.16,38.33,38.09,38.33,38.24,38.03,38.03
YALI0F25531g,37.42,37.65,37.36,37.78,37.84,37.95,37.61,37.32,37.62,38.05,37.83,37.91
