Gene,WT_00_12_01,WT_00_12_02,WT_00_12_03,WT_05_12_01,WT_05_12_02,WT_05_12_03,WT_400_12_01,WT_400_12_02,WT_400_12_03,WT_00_16_01,WT_00_16_02,WT_00_16_03,WT_05_16_01,WT_05_16_02,WT_05_16_03,WT_400_16_01,WT_400_16_02,WT_400_16_03,P3_00_12_01,P3_00_12_02,P3_00_12_03,P3_05_12_01,P3_05_12_02,P3_05_12_03,P3_400_12_01,P3_400_12_02,P3_400_12_03,P3_00_16_01,P3_00_16_02,P3_00_16_03,P3_05_16_01,P3_05_16_02,P3_05_16_03,P3_400_16_01,P3_400_16_02,P3_400_16_03,Unnamed: 37,WT_00_12_01.1,WT_00_12_02.1,WT_00_12_03.1,WT_05_12_01.1,WT_05_12_02.1,WT_05_12_03.1,WT_400_12_01.1,WT_400_12_02.1,WT_400_12_03.1,WT_00_16_01.1,WT_00_16_02.1,WT_00_16_03.1,WT_05_16_01.1,WT_05_16_02.1,WT_05_16_03.1,WT_400_16_01.1,WT_400_16_02.1,WT_400_16_03.1,P3_00_12_01.1,P3_00_12_02.1,P3_00_12_03.1,P3_05_12_01.1,P3_05_12_02.1,P3_05_12_03.1,P3_400_12_01.1,P3_400_12_02.1,P3_400_12_03.1,P3_00_16_01.1,P3_00_16_02.1,P3_00_16_03.1,P3_05_16_01.1,P3_05_16_02.1,P3_05_16_03.1,P3_400_16_01.1,P3_400_16_02.1,P3_400_16_03.1
GPD,40.57,41.11,40.56,40.98,40.63,40.87,40.92,40.93,40.89,40.79,40.53,40.66,41.26,41.04,41,41.12,41.1,41.02,41.32,41.48,41.37,41.47,41.62,41.59,41.1,40.89,41.02,41.44,41.78,41.78,42.06,42.39,42.02,40.95,40.96,40.97,,40.57,41.11,40.56,40.98,40.63,40.87,40.92,40.93,40.89,40.79,40.53,40.66,41.26,41.04,41,41.12,41.1,41.02,41.32,41.48,41.37,41.47,41.62,41.59,41.1,40.89,41.02,41.44,41.78,41.78,42.06,42.39,42.02,40.95,40.96,40.97
ENO,40.58,41.04,40.4,40.71,39.96,40.54,40.2,40.07,40.15,40.51,40.39,40.4,40.52,40.42,40.46,40.36,40.26,40.23,40.73,40.5,40.52,40.58,40.51,40.49,40.25,40.08,39.97,40.75,40.9,40.88,41.13,41.22,41.3,39.92,39.9,39.91,,40.58,41.04,40.4,40.71,39.96,40.54,40.2,40.07,40.15,40.51,40.39,40.4,40.52,40.42,40.46,40.36,40.26,40.23,40.73,40.5,40.52,40.58,40.51,40.49,40.25,40.08,39.97,40.75,40.9,40.88,41.13,41.22,41.3,39.92,39.9,39.91
YALI0_F25289g,39.01,39.4,38.93,39.12,38.75,39.1,39.22,39.33,39.26,38.99,38.86,38.91,39.32,39.05,39.12,39.5,39.5,39.43,38.87,38.75,38.75,38.91,38.92,39,39.03,38.95,39.05,39.19,39.36,39.33,39.58,39.67,39.6,39.26,39.23,39.2,,39.01,39.4,38.93,39.12,38.75,39.1,39.22,39.33,39.26,38.99,38.86,38.91,39.32,39.05,39.12,39.5,39.5,39.43,38.87,38.75,38.75,38.91,38.92,39,39.03,38.95,39.05,39.19,39.36,39.33,39.58,39.67,39.6,39.26,39.23,39.2
YALI0_D08184g,35.86,36.88,35.86,37.25,36.42,36.78,37.26,37.5,37.06,37.35,37.53,37.59,37.33,37.05,37.7,37.75,37.73,37.78,37.69,37.16,37.17,37.18,37.11,37.7,37.24,37.39,37.41,37.39,37.26,37.23,37.39,38.39,37.31,36.31,36.46,36.39,,35.86,36.88,35.86,37.25,36.42,36.78,37.26,37.5,37.06,37.35,37.53,37.59,37.33,37.05,37.7,37.75,37.73,37.78,37.69,37.16,37.17,37.18,37.11,37.7,37.24,37.39,37.41,37.39,37.26,37.23,37.39,38.39,37.31,36.31,36.46,36.39
YALI0_E26004g,38.91,39.35,39.07,38.88,38.69,38.81,38.42,38.32,38.53,38.55,38.63,38.46,38.63,38.58,38.76,38.5,38.38,38.24,38.96,38.69,38.85,38.75,38.78,38.68,38.56,38.46,38.4,38.96,39.18,39.17,39.31,39.42,39.42,38.27,38.27,38.43,,38.91,39.35,39.07,38.88,38.69,38.81,38.42,38.32,38.53,38.55,38.63,38.46,38.63,38.58,38.76,38.5,38.38,38.24,38.96,38.69,38.85,38.75,38.78,38.68,38.56,38.46,38.4,38.96,39.18,39.17,39.31,39.42,39.42,38.27,38.27,38.43
YALI0_C17347g,38.25,38.2,38.07,38.14,37.68,38.06,38.36,38.1,38.61,37.91,37.83,37.96,38.46,38.15,38.37,38.4,38.28,38.27,38.51,38.12,38.22,38.02,38.3,38.22,37.95,37.85,37.94,38.61,38.86,38.78,38.77,38.78,38.91,38.18,38.18,38.51,,38.25,38.2,38.07,38.14,37.68,38.06,38.36,38.1,38.61,37.91,37.83,37.96,38.46,38.15,38.37,38.4,38.28,38.27,38.51,38.12,38.22,38.02,38.3,38.22,37.95,37.85,37.94,38.61,38.86,38.78,38.77,38.78,38.91,38.18,38.18,38.51
TEF,39.31,39.75,39.57,39.21,39.08,39.54,39.7,39.73,39.41,39.92,39.72,39.74,39.65,39.75,39.68,40.5,40.89,40.41,39.16,39.21,39.25,39.55,39.45,39.54,39.11,39.42,39.62,39.12,38.71,38.83,38.97,39.6,39.3,39.17,39.53,39.46,,39.31,39.75,39.57,39.21,39.08,39.54,39.7,39.73,39.41,39.92,39.72,39.74,39.65,39.75,39.68,40.5,40.89,40.41,39.16,39.21,39.25,39.55,39.45,39.54,39.11,39.42,39.62,39.12,38.71,38.83,38.97,39.6,39.3,39.17,39.53,39.46
ATP1,38.97,39.27,38.84,38.98,38.75,38.98,39.62,39.7,39.66,38.78,38.91,38.89,39.28,39.17,39.19,39.58,39.64,39.44,39.18,39.39,39.2,39.22,39.64,39.53,39.49,39.62,39.55,39.25,39.66,39.5,39.3,40.09,39.67,39.23,39.43,39.47,,38.97,39.27,38.84,38.98,38.75,38.98,39.62,39.7,39.66,38.78,38.91,38.89,39.28,39.17,39.19,39.58,39.64,39.44,39.18,39.39,39.2,39.22,39.64,39.53,39.49,39.62,39.55,39.25,39.66,39.5,39.3,40.09,39.67,39.23,39.43,39.47
YALI0_F11759g,37.58,38.19,37.69,37.94,38.27,37.86,38.33,38.52,38.42,38.01,37.72,37.85,38.07,38.36,38.04,38.58,38.46,38.51,38.63,38.57,38.71,38.62,38.74,38.52,38.9,38.28,38.57,38.72,38.73,38.65,38.8,39.27,38.97,38.13,38.59,38.32,,37.58,38.19,37.69,37.94,38.27,37.86,38.33,38.52,38.42,38.01,37.72,37.85,38.07,38.36,38.04,38.58,38.46,38.51,38.63,38.57,38.71,38.62,38.74,38.52,38.9,38.28,38.57,38.72,38.73,38.65,38.8,39.27,38.97,38.13,38.59,38.32
YALI0_E12683g,38.88,39.2,38.99,38.82,38.63,38.85,40.07,39.93,39.96,38.54,38.71,38.8,38.94,38.84,38.79,40.37,40.2,40.25,38.69,39.14,38.61,38.79,39.03,38.55,39.57,39.58,39.49,39.03,39.16,39.13,39.29,39.65,39.44,40.26,40.31,40.44,,38.88,39.2,38.99,38.82,38.63,38.85,40.07,39.93,39.96,38.54,38.71,38.8,38.94,38.84,38.79,40.37,40.2,40.25,38.69,39.14,38.61,38.79,39.03,38.55,39.57,39.58,39.49,39.03,39.16,39.13,39.29,39.65,39.44,40.26,40.31,40.44
