Feature Id	Aliases	Genome	Type	Function
CTHE_RS00055	CTHE_RS00055, WP_003518929.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS00500	CTHE_RS00500, Cthe_0097, WP_003517864.1	ATCC27405 (43218/3/1)	gene	M23 family peptidase
CTHE_RS05070	CTHE_RS05070, Cthe_0979, WP_003515511.1	ATCC27405 (43218/3/1)	gene	PASTA domain-containing protein
CTHE_RS05075	CTHE_RS05075, Cthe_0980, WP_003515513.1	ATCC27405 (43218/3/1)	gene	cell division protein FtsL
CTHE_RS05080	CTHE_RS05080, Cthe_0981, WP_011837940.1	ATCC27405 (43218/3/1)	gene	ribosomal RNA small subunit methyltransferase H
CTHE_RS05085	CTHE_RS05085, Cthe_0982, WP_003515517.1	ATCC27405 (43218/3/1)	gene	division/cell wall cluster transcriptional repressor MraZ
CTHE_RS05090	CTHE_RS05090, Cthe_0983, WP_003515519.1	ATCC27405 (43218/3/1)	gene	rod shape-determining protein RodA
CTHE_RS17070	CTHE_RS17070, Cthe_3333, WP_003515521.1	ATCC27405 (43218/3/1)	gene	Spo0E family sporulation regulatory protein-aspartic acid phosphatase
CTHE_RS05095	CTHE_RS05095, Cthe_0984, WP_003515523.1	ATCC27405 (43218/3/1)	gene	prolipoprotein diacylglyceryl transferase
CTHE_RS05100	CTHE_RS05100, Cthe_0985, WP_003515525.1	ATCC27405 (43218/3/1)	gene	insulinase family protein
CTHE_RS05105	CTHE_RS05105, Cthe_0986, WP_003515527.1	ATCC27405 (43218/3/1)	gene	insulinase family protein
CTHE_RS05110	CTHE_RS05110, Cthe_0987, WP_003515531.1, ribF	ATCC27405 (43218/3/1)	gene	bifunctional riboflavin kinase/FAD synthetase
CTHE_RS00505	CTHE_RS00505, Cthe_0098, WP_003512091.1	ATCC27405 (43218/3/1)	gene	peptidase M50
CTHE_RS05115	CTHE_RS05115, Cthe_0988, WP_003515533.1	ATCC27405 (43218/3/1)	gene	tRNA pseudouridine(55) synthase TruB
CTHE_RS05120	CTHE_RS05120, Cthe_0989, WP_003515536.1	ATCC27405 (43218/3/1)	gene	bifunctional oligoribonuclease/PAP phosphatase NrnA
CTHE_RS05125	CTHE_RS05125, Cthe_0990, WP_004463458.1	ATCC27405 (43218/3/1)	gene	ribosome-binding factor A
CTHE_RS05130	CTHE_RS05130, Cthe_0991, WP_023062387.1	ATCC27405 (43218/3/1)	gene	translation initiation factor IF-2
CTHE_RS05135	CTHE_RS05135, Cthe_0992, WP_003515542.1	ATCC27405 (43218/3/1)	gene	50S ribosomal protein L7ae
CTHE_RS05140	CTHE_RS05140, Cthe_0993, WP_003515543.1	ATCC27405 (43218/3/1)	gene	DUF448 domain-containing protein
CTHE_RS05145	CTHE_RS05145, Cthe_0994, WP_003515545.1, nusA	ATCC27405 (43218/3/1)	gene	transcription termination/antitermination protein NusA
CTHE_RS05150	CTHE_RS05150, Cthe_0995, WP_003515546.1	ATCC27405 (43218/3/1)	gene	ribosome maturation factor
CTHE_RS05155	2.7.7.7, CTHE_RS05155, Cthe_0996, WP_011837942.1, polC	ATCC27405 (43218/3/1)	gene	PolC-type DNA polymerase III
CTHE_RS05160	CTHE_RS05160, Cthe_0997, WP_003515550.1	ATCC27405 (43218/3/1)	gene	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
CTHE_RS00510	CTHE_RS00510, Cthe_0099, WP_003512093.1, metF	ATCC27405 (43218/3/1)	gene	methylenetetrahydrofolate reductase [NAD(P)H]
CTHE_RS05165	CTHE_RS05165, Cthe_0998, WP_003515551.1, rseP	ATCC27405 (43218/3/1)	gene	RIP metalloprotease RseP
CTHE_RS05170	CTHE_RS05170, Cthe_0999, WP_003515554.1	ATCC27405 (43218/3/1)	gene	1-deoxy-D-xylulose-5-phosphate reductoisomerase
CTHE_RS05175	CTHE_RS05175, Cthe_1000, WP_003515555.1	ATCC27405 (43218/3/1)	gene	phosphatidate cytidylyltransferase
CTHE_RS05180	CTHE_RS05180, Cthe_1001, WP_003515557.1	ATCC27405 (43218/3/1)	gene	isoprenyl transferase
CTHE_RS05185	CTHE_RS05185, Cthe_1002, WP_003515559.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05190	CTHE_RS05190, Cthe_1003, WP_041734228.1	ATCC27405 (43218/3/1)	gene	ribosome recycling factor
CTHE_RS05195	CTHE_RS05195, Cthe_1004, WP_003515563.1	ATCC27405 (43218/3/1)	gene	UMP kinase
CTHE_RS05200	CTHE_RS05200, Cthe_1005, WP_003515565.1, tsf	ATCC27405 (43218/3/1)	gene	elongation factor Ts
CTHE_RS05205	CTHE_RS05205, Cthe_1006, WP_003515567.1, rpsB	ATCC27405 (43218/3/1)	gene	30S ribosomal protein S2
CTHE_RS05210	CTHE_RS05210, Cthe_1007, WP_003515569.1, typA	ATCC27405 (43218/3/1)	gene	translational GTPase TypA
CTHE_RS00515	CTHE_RS00515, Cthe_0100, WP_003512095.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05215	CTHE_RS05215, Cthe_1008, WP_003515572.1	ATCC27405 (43218/3/1)	gene	endolytic transglycosylase MltG
CTHE_RS05220	CTHE_RS05220, Cthe_1009, WP_003521232.1	ATCC27405 (43218/3/1)	gene	O-methyltransferase
CTHE_RS05225	CTHE_RS05225, Cthe_1010, WP_003515575.1	ATCC27405 (43218/3/1)	gene	peptidase U32
CTHE_RS05230	CTHE_RS05230, Cthe_1011, WP_003515577.1	ATCC27405 (43218/3/1)	gene	peptidoglycan glycosyltransferase
CTHE_RS05235	CTHE_RS05235, Cthe_1012, WP_003515579.1, sigK	ATCC27405 (43218/3/1)	gene	RNA polymerase sporulation sigma factor SigK
CTHE_RS05240	CTHE_RS05240, Cthe_1013, WP_011837944.1, ytvI	ATCC27405 (43218/3/1)	gene	sporulation integral membrane protein YtvI
CTHE_RS05245	CTHE_RS05245, Cthe_1014, WP_004463478.1	ATCC27405 (43218/3/1)	gene	endonuclease MutS2
CTHE_RS05250	CTHE_RS05250, Cthe_3335, WP_003515584.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
